poly_id,year,month,cooling_monthly_mean,n_points,month_date,poly_elv
1,2020,10,4.212105198910362,19,2020-10-01,14.236887454986572
1,2020,11,5.341576827199836,19,2020-11-01,14.236887454986572
1,2020,12,5.525003051757812,20,2020-12-01,14.236887454986572
1,2021,1,6.044207121196546,19,2021-01-01,14.236887454986572
1,2021,2,8.069994758157168,17,2021-02-01,14.236887454986572
1,2021,3,8.779475161903783,19,2021-03-01,14.236887454986572
1,2021,4,8.733684339021382,19,2021-04-01,14.236887454986572
1,2021,5,7.7135009765625,20,2021-05-01,14.236887454986572
1,2021,6,6.8131569310238485,19,2021-06-01,14.236887454986572
1,2021,7,6.075262772409539,19,2021-07-01,14.236887454986572
1,2021,8,5.894446478949653,18,2021-08-01,14.236887454986572
1,2021,9,5.904205322265625,19,2021-09-01,14.236887454986572
1,2021,10,7.517495727539062,20,2021-10-01,14.236887454986572
1,2021,11,8.056312962582236,19,2021-11-01,14.236887454986572
1,2021,12,6.95473921926398,19,2021-12-01,14.236887454986572
1,2022,1,6.56631790964227,19,2022-01-01,14.236887454986572
1,2022,2,8.770590389476103,17,2022-02-01,14.236887454986572
1,2022,3,10.6989990234375,20,2022-03-01,14.236887454986572
1,2022,4,11.104739540501646,19,2022-04-01,14.236887454986572
1,2022,5,11.2247314453125,19,2022-05-01,14.236887454986572
1,2022,6,10.800000359030332,17,2022-06-01,14.236887454986572
1,2022,7,4.816313091077302,19,2022-07-01,14.236887454986572
1,2022,8,4.603689093338816,19,2022-08-01,14.236887454986572
1,2022,9,3.5331533331620064,19,2022-09-01,14.236887454986572
1,2022,10,3.2531545538651314,19,2022-10-01,14.236887454986572
1,2022,11,4.716666327582465,18,2022-11-01,14.236887454986572
1,2022,12,7.1342114900287825,19,2022-12-01,14.236887454986572
1,2023,1,6.024998474121094,20,2023-01-01,14.236887454986572
1,2023,2,9.400000678168404,18,2023-02-01,14.236887454986572
1,2023,3,11.323155453330592,19,2023-03-01,14.236887454986572
1,2023,4,11.169998972039474,19,2023-04-01,14.236887454986572
1,2023,5,10.55683818616365,19,2023-05-01,14.236887454986572
1,2023,6,5.637896086040296,19,2023-06-01,14.236887454986572
1,2023,7,3.339501953125,20,2023-07-01,14.236887454986572
1,2023,8,3.1463125128495064,19,2023-08-01,14.236887454986572
1,2023,9,3.7266642252604165,18,2023-09-01,14.236887454986572
1,2023,10,6.481106228298611,18,2023-10-01,14.236887454986572
1,2023,11,6.878948010896382,19,2023-11-01,14.236887454986572
1,2023,12,5.065499877929687,20,2023-12-01,14.236887454986572
1,2024,1,3.5136799059416117,19,2024-01-01,14.236887454986572
1,2024,2,5.134999593098958,18,2024-02-01,14.236887454986572
1,2024,3,7.644999694824219,20,2024-03-01,14.236887454986572
1,2024,4,9.38789287366365,19,2024-04-01,14.236887454986572
1,2024,5,9.503160978618421,19,2024-05-01,14.236887454986572
1,2024,6,9.671573036595396,19,2024-06-01,14.236887454986572
1,2024,7,9.80526412160773,19,2024-07-01,14.236887454986572
1,2024,8,7.329475804379112,19,2024-08-01,14.236887454986572
1,2024,9,1.4378935161389803,19,2024-09-01,14.236887454986572
1,2024,10,1.948884752061632,18,2024-10-01,14.236887454986572
2,2020,10,2.4005239386307564,19,2020-10-01,35.77858638763428
