date,roni,t1330,t0130,year,month,forest,open_land,lst_mean,cooling,n_points,precipitation_mm,ssrd_Jm2_1330,ssrd_Wm2_1330
2020-10-01T00:00:00Z,-1.58,23.47766851380817,19.733164516715135,2020,10,14.317342738718317,16.221341373607366,15.26934205616284,1.9039986348890536,64,210.35617866098536,10193761.76744186,2831.6004909560725
2020-11-01T00:00:00Z,-1.7,23.13758062318317,19.7225472383721,2020,11,14.635354717488164,15.987059973360974,15.31120734542457,1.351705255872809,64,274.3608001998604,9502782.744186046,2639.6618733850128
2020-12-01T00:00:00Z,-1.36,24.615091297238394,18.968482013081427,2020,12,14.52560851140424,16.270618065302056,15.398113288353148,1.7450095538978174,64,118.9088260235135,11470903.441860463,3186.3620671834624
2021-01-01T00:00:00Z,-1.06,25.421680823037832,18.707189089752944,2021,1,14.526945467410432,17.06442789577945,15.79568668159494,2.5374824283690143,64,25.919939995050257,12847788.372093024,3568.8301033591733
2021-02-01T00:00:00Z,-1.12,26.2347940134448,19.716460755813955,2021,2,15.185985547577069,18.584839209901972,16.88541237873952,3.398853662324905,64,26.618472370522117,13490575.906976745,3747.382196382429
2021-03-01T00:00:00Z,-0.94,26.240676099200584,19.372080532340135,2021,3,14.814235593147988,18.70137160048038,16.75780359681418,3.8871360073323897,64,25.573316270607013,14719812.209302325,4088.836724806202
2021-04-01T00:00:00Z,-0.88,25.196776208212217,20.176489825581427,2021,4,15.205314425028858,19.477722919910263,17.34151867246956,4.2724084948814065,64,67.0113147203919,13012942.744186046,3614.706317829457
2021-05-01T00:00:00Z,-0.56,24.6859261446221,20.3619515352471,2021,5,15.300667651464586,19.260794057898547,17.28073085468157,3.960126406433963,64,117.14260879535834,11369513.674418604,3158.198242894057
2021-06-01T00:00:00Z,-0.39,24.29407476380817,19.974074536700584,2021,6,14.906001052567452,18.100693666536426,16.503347359551938,3.194692613968974,64,224.59103392307148,11584485.441860463,3217.912622739018
2021-07-01T00:00:00Z,-0.6,24.59091569767446,20.04125295239828,2021,7,15.29733072019661,18.07319489048123,16.68526280533892,2.7758641702846183,64,149.6129749927583,10590972.697674418,2941.9368604651163
2021-08-01T00:00:00Z,-0.78,23.831008130450584,19.972910610465135,2021,8,14.670685236671956,17.29155786362452,15.981121550148236,2.6208726269525635,64,197.94034922148944,10617260.837209305,2949.2391214470285
2021-09-01T00:00:00Z,-0.77,23.95911382630817,19.752849064316877,2021,9,14.773794142307436,17.077217327438767,15.925505734873102,2.303423185131331,64,155.2883893153955,11865372.720930232,3295.9368669250644
2021-10-01T00:00:00Z,-1.21,23.969282567223843,19.62880291606109,2021,10,14.738592938873024,16.88379432150141,15.811193630187216,2.1452013826283833,64,145.9955958552052,11604561.23255814,3223.4892312661495
2021-11-01T00:00:00Z,-1.21,23.680078125000023,19.12657158430233,2021,11,14.93470841134472,16.97006094856043,15.952384679952576,2.0353525372157115,64,131.71450779665,10877576.279069768,3021.548966408269
2021-12-01T00:00:00Z,-1.28,24.7369515352471,19.130347247456427,2021,12,15.244661860135626,17.42525834971258,16.334960104924104,2.1805964895769545,64,44.4603657135388,11867166.511627909,3296.435142118863
2022-01-01T00:00:00Z,-1.23,25.89188431140991,18.6295694040698,2022,1,14.646621690740323,17.376998609841134,16.01181015029073,2.73037691910081,64,14.493052682493811,13572131.302325582,3770.036472868217
