interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2020-01-02,2020-01-03,283.4599914550781,283.4599914550781,283.4599914550781,0.0,65536,286,66,10.0,1604.113037109375
2020-01-03,2020-01-04,285.45001220703125,285.45001220703125,285.45001220703125,0.0,65536,286,66,10.0,1604.113037109375
2020-01-05,2020-01-06,282.2099914550781,282.2099914550781,282.2099914550781,0.0,65536,286,66,10.0,1604.113037109375
2020-01-07,2020-01-08,280.3900146484375,280.3900146484375,280.3900146484375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-09,2020-01-10,284.1499938964844,284.1499938964844,284.1499938964844,0.0,65536,286,66,10.0,1604.113037109375
2020-01-10,2020-01-11,287.82000732421875,287.82000732421875,287.82000732421875,0.0,65536,286,66,10.0,1604.113037109375
2020-01-11,2020-01-12,283.0,283.0,283.0,0.0,65536,286,66,10.0,1604.113037109375
2020-01-12,2020-01-13,284.6300048828125,284.6300048828125,284.6300048828125,0.0,65536,286,66,10.0,1604.113037109375
2020-01-14,2020-01-15,282.8900146484375,282.8900146484375,282.8900146484375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-16,2020-01-17,282.5899963378906,282.5899963378906,282.5899963378906,0.0,65536,286,66,10.0,1604.113037109375
2020-01-18,2020-01-19,286.05999755859375,286.05999755859375,286.05999755859375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-19,2020-01-20,286.7699890136719,286.7699890136719,286.7699890136719,0.0,65536,286,66,10.0,1604.113037109375
2020-01-21,2020-01-22,284.42999267578125,284.42999267578125,284.42999267578125,0.0,65536,286,66,10.0,1604.113037109375
2020-01-23,2020-01-24,284.6099853515625,284.6099853515625,284.6099853515625,0.0,65536,286,66,10.0,1604.113037109375
2020-01-25,2020-01-26,283.5199890136719,283.5199890136719,283.5199890136719,0.0,65536,286,66,10.0,1604.113037109375
2020-01-26,2020-01-27,289.7099914550781,289.7099914550781,289.7099914550781,0.0,65536,286,66,10.0,1604.113037109375
2020-01-27,2020-01-28,283.94000244140625,283.94000244140625,283.94000244140625,0.0,65536,286,66,10.0,1604.113037109375
2020-01-28,2020-01-29,284.489990234375,284.489990234375,284.489990234375,0.0,65536,286,66,10.0,1604.113037109375
2020-01-30,2020-01-31,281.8900146484375,281.8900146484375,281.8900146484375,0.0,65536,286,66,10.0,1604.113037109375
2020-02-01,2020-02-02,282.9200134277344,282.9200134277344,282.9200134277344,0.0,65536,286,66,10.0,1604.113037109375
2020-02-03,2020-02-04,285.489990234375,285.489990234375,285.489990234375,0.0,65536,286,66,10.0,1604.113037109375
2020-02-04,2020-02-05,285.19000244140625,285.19000244140625,285.19000244140625,0.0,65536,286,66,10.0,1604.113037109375
2020-02-06,2020-02-07,281.44000244140625,281.44000244140625,281.44000244140625,0.0,65536,286,66,10.0,1604.113037109375
2020-02-08,2020-02-09,282.739990234375,282.739990234375,282.739990234375,0.0,65536,286,66,10.0,1604.113037109375
2020-02-10,2020-02-11,279.2099914550781,279.2099914550781,279.2099914550781,0.0,65536,286,66,10.0,1604.113037109375
2020-02-11,2020-02-12,285.8800048828125,285.8800048828125,285.8800048828125,0.0,65536,286,66,10.0,1604.113037109375
2020-02-12,2020-02-13,284.0799865722656,284.0799865722656,284.0799865722656,0.0,65536,286,66,10.0,1604.113037109375
2020-02-13,2020-02-14,284.20001220703125,284.20001220703125,284.20001220703125,0.0,65536,286,66,10.0,1604.113037109375
2020-02-15,2020-02-16,280.8599853515625,280.8599853515625,280.8599853515625,0.0,65536,286,66,10.0,1604.113037109375
