poly_id,date,forest,open_land,forest_cooling
66,2020-10-01,10.330010986328148,14.100000000000023,3.769989013671875
66,2020-10-03,9.330010986328148,12.629998779296898,3.29998779296875
66,2020-10-05,10.300012207031273,13.890008544921898,3.589996337890625
66,2020-10-07,9.899987792968773,13.339990234375023,3.44000244140625
66,2020-10-08,6.929986572265648,9.360009765625023,2.430023193359375
66,2020-10-09,9.670007324218773,13.040002441406273,3.3699951171875
66,2020-10-10,9.879998779296898,13.409997558593773,3.529998779296875
66,2020-10-12,10.740014648437523,14.459985351562523,3.719970703125
66,2020-10-14,9.450006103515648,12.740014648437523,3.290008544921875
66,2020-10-16,10.490014648437523,14.080010986328148,3.589996337890625
66,2020-10-17,11.629998779296898,15.629998779296898,4
66,2020-10-19,9.760003662109398,9.959985351562523,0.199981689453125
66,2020-10-21,6.409997558593773,6.429986572265648,0.019989013671875
66,2020-10-23,10.909997558593773,11.020013427734398,0.110015869140625
66,2020-10-24,11.089990234375023,11.290002441406273,0.20001220703125
66,2020-10-25,9.929986572265648,10.010003662109398,0.08001708984375
66,2020-10-26,10.010003662109398,10.189996337890648,0.17999267578125
66,2020-10-28,10.439996337890648,10.600000000000023,0.160003662109375
66,2020-10-30,9.490014648437523,9.600000000000023,0.1099853515625
66,2020-11-01,11.330010986328148,11.490014648437523,0.160003662109375
66,2020-11-02,9.659997558593773,9.869989013671898,0.209991455078125
66,2020-11-04,10.390008544921898,10.529992675781273,0.139984130859375
66,2020-11-06,10.279992675781273,10.459985351562523,0.17999267578125
66,2020-11-08,8.909997558593773,8.999993896484398,0.089996337890625
66,2020-11-09,11.589990234375023,11.879998779296898,0.290008544921875
66,2020-11-10,10.390008544921898,10.490014648437523,0.100006103515625
66,2020-11-11,9.369989013671898,9.570001220703148,0.20001220703125
66,2020-11-13,9.879998779296898,10.059991455078148,0.17999267578125
66,2020-11-15,9.059991455078148,9.140008544921898,0.08001708984375
66,2020-11-17,10.959985351562523,11.080010986328148,0.120025634765625
66,2020-11-18,8.719995117187523,8.899987792968773,0.17999267578125
66,2020-11-20,10.149987792968773,10.360009765625023,0.21002197265625
66,2020-11-22,8.189996337890648,8.330010986328148,0.1400146484375
66,2020-11-24,11.159997558593773,11.320001220703148,0.160003662109375
66,2020-11-25,11.980004882812523,12.330010986328148,0.350006103515625
66,2020-11-26,9.409997558593773,9.520013427734398,0.110015869140625
66,2020-11-27,9.080010986328148,9.390008544921898,0.30999755859375
66,2020-11-29,8.159997558593773,8.320001220703148,0.160003662109375
66,2020-12-01,9.649987792968773,9.740014648437523,0.09002685546875
66,2020-12-03,8.939996337890648,9.020013427734398,0.08001708984375
66,2020-12-04,7.209985351562523,7.429986572265648,0.220001220703125
66,2020-12-06,8.260003662109398,8.529992675781273,0.269989013671875
66,2020-12-08,11.089990234375023,11.219995117187523,0.1300048828125
66,2020-12-10,11.080010986328148,11.240014648437523,0.160003662109375
66,2020-12-11,12.649987792968773,12.920007324218773,0.27001953125
66,2020-12-12,7.450006103515648,7.600000000000023,0.149993896484375
66,2020-12-13,8.580010986328148,8.899987792968773,0.319976806640625
66,2020-12-15,6.540002441406273,6.779992675781273,0.239990234375
66,2020-12-17,8.969995117187523,10.350000000000023,1.3800048828125
66,2020-12-19,8.890008544921898,10.260003662109398,1.3699951171875
66,2020-12-20,10.850000000000023,12.619989013671898,1.769989013671875
66,2020-12-22,9.399987792968773,10.730004882812523,1.33001708984375
66,2020-12-24,10.010003662109398,11.330010986328148,1.32000732421875
66,2020-12-26,6.610009765625023,7.450006103515648,0.839996337890625
66,2020-12-27,9.790002441406273,11.450006103515648,1.660003662109375
66,2020-12-28,9.730004882812523,11.260003662109398,1.529998779296875
66,2020-12-29,10.350000000000023,12.029992675781273,1.67999267578125
66,2020-12-31,7.580010986328148,8.850000000000023,1.269989013671875
66,2021-01-02,10.290002441406273,11.909997558593773,1.6199951171875
66,2021-01-04,10.330010986328148,11.920007324218773,1.589996337890625
66,2021-01-05,8.839990234375023,10.420007324218773,1.58001708984375
66,2021-01-07,6.490014648437523,7.629998779296898,1.139984130859375
66,2021-01-09,6.950006103515648,7.990014648437523,1.040008544921875
66,2021-01-11,9.420007324218773,10.890008544921898,1.470001220703125
66,2021-01-12,11.719995117187523,13.600000000000023,1.8800048828125
66,2021-01-13,11.640008544921898,13.429986572265648,1.78997802734375
66,2021-01-14,9.640008544921898,11.290002441406273,1.649993896484375
66,2021-01-16,8.820001220703148,10.219995117187523,1.399993896484375
66,2021-01-18,7.189996337890648,8.309991455078148,1.1199951171875
66,2021-01-20,10.050012207031273,11.610009765625023,1.55999755859375
66,2021-01-21,11.730004882812523,13.529992675781273,1.79998779296875
66,2021-01-23,7.890008544921898,9.290002441406273,1.399993896484375
66,2021-01-25,7.809991455078148,9.070001220703148,1.260009765625
66,2021-01-27,8.629998779296898,10.110009765625023,1.480010986328125
66,2021-01-28,10.830010986328148,12.779992675781273,1.949981689453125
66,2021-01-29,8.899987792968773,10.420007324218773,1.52001953125
66,2021-01-30,7.969995117187523,9.469995117187523,1.5
66,2021-02-01,8.850000000000023,10.360009765625023,1.510009765625
66,2021-02-03,12.230004882812523,14.290002441406273,2.05999755859375
66,2021-02-05,9.939996337890648,11.730004882812523,1.790008544921875
66,2021-02-06,12.290002441406273,14.570001220703148,2.279998779296875
66,2021-02-08,10.809991455078148,12.779992675781273,1.970001220703125
66,2021-02-10,8.860009765625023,10.420007324218773,1.55999755859375
66,2021-02-12,9.899987792968773,11.689996337890648,1.790008544921875
66,2021-02-13,12.350000000000023,14.600000000000023,2.25
66,2021-02-14,9.809991455078148,11.570001220703148,1.760009765625
66,2021-02-15,10.140008544921898,12.189996337890648,2.04998779296875
66,2021-02-17,9.420007324218773,11.300012207031273,1.8800048828125
66,2021-02-19,9.920007324218773,11.860009765625023,1.94000244140625
66,2021-02-21,9.939996337890648,11.909997558593773,1.970001220703125
66,2021-02-22,9.379998779296898,11.439996337890648,2.05999755859375
66,2021-02-24,6.339990234375023,7.659997558593773,1.32000732421875
66,2021-02-26,8.279992675781273,9.969995117187523,1.69000244140625
66,2021-02-28,7.610009765625023,9.149987792968773,1.53997802734375
66,2021-03-01,11.550012207031273,13.899987792968773,2.3499755859375
66,2021-03-02,10.439996337890648,12.469995117187523,2.029998779296875
66,2021-03-03,7.820001220703148,9.580010986328148,1.760009765625
66,2021-03-05,7.670007324218773,9.129998779296898,1.459991455078125
66,2021-03-07,6.339990234375023,7.510003662109398,1.170013427734375
66,2021-03-09,11.610009765625023,13.679986572265648,2.069976806640625
66,2021-03-10,10.559991455078148,12.749993896484398,2.19000244140625
66,2021-03-12,8.059991455078148,9.830010986328148,1.77001953125
66,2021-03-14,7.749993896484398,9.420007324218773,1.670013427734375
66,2021-03-16,9.779992675781273,11.850000000000023,2.07000732421875
66,2021-03-17,13.830010986328148,16.480004882812523,2.649993896484375
66,2021-03-18,10.339990234375023,12.529992675781273,2.19000244140625
66,2021-03-19,9.179986572265648,11.290002441406273,2.110015869140625
66,2021-03-21,8.589990234375023,10.499993896484398,1.910003662109375
66,2021-03-23,8.779992675781273,10.740014648437523,1.96002197265625
66,2021-03-25,7.610009765625023,9.279992675781273,1.66998291015625
66,2021-03-26,10.950006103515648,13.540002441406273,2.589996337890625
66,2021-03-28,6.089990234375023,7.679986572265648,1.589996337890625
66,2021-03-30,11.879998779296898,14.580010986328148,2.70001220703125
