interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv,uid,check
2023-01-19,2023-01-20,291.1300048828125,291.1300048828125,291.1300048828125,0.0,65536,13986,572,30,1429,2654,TRUE
2023-01-20,2023-01-21,292.57000732421875,292.57000732421875,292.57000732421875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-01-22,2023-01-23,293.0799865722656,293.0799865722656,293.0799865722656,0.0,65536,13986,572,30,1429,2654,TRUE
2023-01-24,2023-01-25,293.6099853515625,293.6099853515625,293.6099853515625,0.0,65536,13986,572,30,1429,2654,TRUE
2023-01-26,2023-01-27,292.45001220703125,292.45001220703125,292.45001220703125,0.0,65536,13986,572,30,1429,2654,TRUE
2023-01-27,2023-01-28,292.54998779296875,292.54998779296875,292.54998779296875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-01-29,2023-01-30,290.4100036621094,290.4100036621094,290.4100036621094,0.0,65536,13986,572,30,1429,2654,TRUE
2023-01-31,2023-02-01,294.67999267578125,294.67999267578125,294.67999267578125,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-02,2023-02-03,290.6199951171875,290.6199951171875,290.6199951171875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-03,2023-02-04,291.07000732421875,291.07000732421875,291.07000732421875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-04,2023-02-05,290.9200134277344,290.9200134277344,290.9200134277344,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-05,2023-02-06,291.3399963378906,291.3399963378906,291.3399963378906,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-07,2023-02-08,295.9800109863281,295.9800109863281,295.9800109863281,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-09,2023-02-10,292.4599914550781,292.4599914550781,292.4599914550781,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-11,2023-02-12,292.260009765625,292.260009765625,292.260009765625,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-12,2023-02-13,291.9200134277344,291.9200134277344,291.9200134277344,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-14,2023-02-15,294.0,294.0,294.0,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-16,2023-02-17,294.29998779296875,294.29998779296875,294.29998779296875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-18,2023-02-19,293.3299865722656,293.3299865722656,293.3299865722656,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-19,2023-02-20,289.82000732421875,289.82000732421875,289.82000732421875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-20,2023-02-21,290.9800109863281,290.9800109863281,290.9800109863281,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-21,2023-02-22,291.2300109863281,291.2300109863281,291.2300109863281,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-23,2023-02-24,293.7799987792969,293.7799987792969,293.7799987792969,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-25,2023-02-26,292.45001220703125,292.45001220703125,292.45001220703125,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-27,2023-02-28,293.5299987792969,293.5299987792969,293.5299987792969,0.0,65536,13986,572,30,1429,2654,TRUE
2023-02-28,2023-03-01,295.0199890136719,295.0199890136719,295.0199890136719,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-02,2023-03-03,295.2699890136719,295.2699890136719,295.2699890136719,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-04,2023-03-05,295.1700134277344,295.1700134277344,295.1700134277344,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-06,2023-03-07,292.8900146484375,292.8900146484375,292.8900146484375,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-07,2023-03-08,293.6199951171875,293.6199951171875,293.6199951171875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-08,2023-03-09,293.55999755859375,293.55999755859375,293.55999755859375,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-09,2023-03-10,289.9200134277344,289.9200134277344,289.9200134277344,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-11,2023-03-12,291.4200134277344,291.4200134277344,291.4200134277344,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-13,2023-03-14,293.4800109863281,293.4800109863281,293.4800109863281,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-15,2023-03-16,291.0799865722656,291.0799865722656,291.0799865722656,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-16,2023-03-17,289.760009765625,289.760009765625,289.760009765625,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-18,2023-03-19,292.3699951171875,292.3699951171875,292.3699951171875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-20,2023-03-21,293.80999755859375,293.80999755859375,293.80999755859375,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-22,2023-03-23,293.2900085449219,293.2900085449219,293.2900085449219,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-23,2023-03-24,292.2200012207031,292.2200012207031,292.2200012207031,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-24,2023-03-25,291.8699951171875,291.8699951171875,291.8699951171875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-25,2023-03-26,293.3699951171875,293.3699951171875,293.3699951171875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-27,2023-03-28,294.3900146484375,294.3900146484375,294.3900146484375,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-29,2023-03-30,294.3399963378906,294.3399963378906,294.3399963378906,0.0,65536,13986,572,30,1429,2654,TRUE
2023-03-31,2023-04-01,293.07000732421875,293.07000732421875,293.07000732421875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-01,2023-04-02,295.5199890136719,295.5199890136719,295.5199890136719,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-03,2023-04-04,295.25,295.25,295.25,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-05,2023-04-06,295.17999267578125,295.17999267578125,295.17999267578125,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-07,2023-04-08,294.0400085449219,294.0400085449219,294.0400085449219,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-08,2023-04-09,295.05999755859375,295.05999755859375,295.05999755859375,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-09,2023-04-10,292.9100036621094,292.9100036621094,292.9100036621094,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-10,2023-04-11,294.1199951171875,294.1199951171875,294.1199951171875,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-12,2023-04-13,294.9100036621094,294.9100036621094,294.9100036621094,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-14,2023-04-15,293.2900085449219,293.2900085449219,293.2900085449219,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-16,2023-04-17,293.6300048828125,293.6300048828125,293.6300048828125,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-17,2023-04-18,292.6400146484375,292.6400146484375,292.6400146484375,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-19,2023-04-20,295.0400085449219,295.0400085449219,295.0400085449219,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-21,2023-04-22,294.6499938964844,294.6499938964844,294.6499938964844,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-23,2023-04-24,292.4200134277344,292.4200134277344,292.4200134277344,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-24,2023-04-25,293.44000244140625,293.44000244140625,293.44000244140625,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-25,2023-04-26,292.67999267578125,292.67999267578125,292.67999267578125,0.0,65536,13986,572,30,1429,2654,TRUE
2023-04-26,2023-04-27,294.3999938964844,294.3999938964844,294.3999938964844,0.0,65536,13986,572,30,1429,2654,TRUE
