"interval_from","interval_to","LST_B0_min","LST_B0_max","LST_B0_mean","LST_B0_stDev","LST_B0_sampleCount","LST_B0_noDataCount","poly_id","landcover","elv","uid","check"
2020-03-14,2020-03-15,288.420013427734,288.420013427734,288.420013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-15,2020-03-16,288.970001220703,288.970001220703,288.970001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-16,2020-03-17,286.540008544922,286.540008544922,286.540008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-18,2020-03-19,286.600006103516,286.600006103516,286.600006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-20,2020-03-21,286.660003662109,286.660003662109,286.660003662109,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-22,2020-03-23,287.019989013672,287.019989013672,287.019989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-23,2020-03-24,286.299987792969,286.299987792969,286.299987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-25,2020-03-26,286.089996337891,286.089996337891,286.089996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-27,2020-03-28,290.160003662109,290.160003662109,290.160003662109,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-29,2020-03-30,289.160003662109,289.160003662109,289.160003662109,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-30,2020-03-31,288.609985351562,288.609985351562,288.609985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-03-31,2020-04-01,290.459991455078,290.459991455078,290.459991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-01,2020-04-02,288.429992675781,288.429992675781,288.429992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-03,2020-04-04,287.859985351562,287.859985351562,287.859985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-05,2020-04-06,290.779998779297,290.779998779297,290.779998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-07,2020-04-08,293.609985351562,293.609985351562,293.609985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-08,2020-04-09,291.489990234375,291.489990234375,291.489990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-10,2020-04-11,292.970001220703,292.970001220703,292.970001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-12,2020-04-13,292.839996337891,292.839996337891,292.839996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-14,2020-04-15,289.170013427734,289.170013427734,289.170013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-15,2020-04-16,289.769989013672,289.769989013672,289.769989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-16,2020-04-17,290.209991455078,290.209991455078,290.209991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-17,2020-04-18,285.529998779297,285.529998779297,285.529998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-19,2020-04-20,291.809997558594,291.809997558594,291.809997558594,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-21,2020-04-22,292.040008544922,292.040008544922,292.040008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-23,2020-04-24,290.559997558594,290.559997558594,290.559997558594,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-24,2020-04-25,291.170013427734,291.170013427734,291.170013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-26,2020-04-27,288.970001220703,288.970001220703,288.970001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-28,2020-04-29,292.489990234375,292.489990234375,292.489990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-04-30,2020-05-01,292.019989013672,292.019989013672,292.019989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-01,2020-05-02,289.529998779297,289.529998779297,289.529998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-02,2020-05-03,292.660003662109,292.660003662109,292.660003662109,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-03,2020-05-04,288.510009765625,288.510009765625,288.510009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-05,2020-05-06,291.609985351562,291.609985351562,291.609985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-07,2020-05-08,292.429992675781,292.429992675781,292.429992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-09,2020-05-10,293.149993896484,293.149993896484,293.149993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-10,2020-05-11,292.309997558594,292.309997558594,292.309997558594,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-12,2020-05-13,289.959991455078,289.959991455078,289.959991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-14,2020-05-15,291.420013427734,291.420013427734,291.420013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-16,2020-05-17,291.859985351562,291.859985351562,291.859985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-17,2020-05-18,291.790008544922,291.790008544922,291.790008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-18,2020-05-19,292.260009765625,292.260009765625,292.260009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-19,2020-05-20,289.739990234375,289.739990234375,289.739990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-21,2020-05-22,293.140014648438,293.140014648438,293.140014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-23,2020-05-24,290.709991455078,290.709991455078,290.709991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-25,2020-05-26,294.320007324219,294.320007324219,294.320007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-26,2020-05-27,290.850006103516,290.850006103516,290.850006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-28,2020-05-29,289.339996337891,289.339996337891,289.339996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-05-30,2020-05-31,289.570007324219,289.570007324219,289.570007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-01,2020-06-02,290.690002441406,290.690002441406,290.690002441406,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-02,2020-06-03,289.519989013672,289.519989013672,289.519989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-03,2020-06-04,291.079986572266,291.079986572266,291.079986572266,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-04,2020-06-05,289.690002441406,289.690002441406,289.690002441406,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-06,2020-06-07,290.480010986328,290.480010986328,290.480010986328,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-08,2020-06-09,292.899993896484,292.899993896484,292.899993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-10,2020-06-11,291.929992675781,291.929992675781,291.929992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-11,2020-06-12,286.739990234375,286.739990234375,286.739990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-13,2020-06-14,290,290,290,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-15,2020-06-16,292.970001220703,292.970001220703,292.970001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-17,2020-06-18,290.459991455078,290.459991455078,290.459991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-18,2020-06-19,288.959991455078,288.959991455078,288.959991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-19,2020-06-20,291.450012207031,291.450012207031,291.450012207031,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-20,2020-06-21,290.619995117188,290.619995117188,290.619995117188,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-22,2020-06-23,290.149993896484,290.149993896484,290.149993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-24,2020-06-25,291.179992675781,291.179992675781,291.179992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-26,2020-06-27,291.720001220703,291.720001220703,291.720001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-27,2020-06-28,289.200012207031,289.200012207031,289.200012207031,0,65536,13709,20,30,1385,92,"moved a bit"
2020-06-29,2020-06-30,289.549987792969,289.549987792969,289.549987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-01,2020-07-02,289.570007324219,289.570007324219,289.570007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-03,2020-07-04,290.239990234375,290.239990234375,290.239990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-04,2020-07-05,288.769989013672,288.769989013672,288.769989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-05,2020-07-06,290.549987792969,290.549987792969,290.549987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-06,2020-07-07,289.570007324219,289.570007324219,289.570007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-08,2020-07-09,290.320007324219,290.320007324219,290.320007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-10,2020-07-11,292.359985351562,292.359985351562,292.359985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-12,2020-07-13,289.790008544922,289.790008544922,289.790008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-13,2020-07-14,289.5,289.5,289.5,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-15,2020-07-16,289.600006103516,289.600006103516,289.600006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-17,2020-07-18,288.679992675781,288.679992675781,288.679992675781,0,65536,13709,20,30,1385,92,"moved a bit"
