LST-DISPLAY-DAY-TIME-C0/date,LST-DISPLAY-DAY-TIME-C0/min,LST-DISPLAY-DAY-TIME-C0/max,LST-DISPLAY-DAY-TIME-C0/mean,LST-DISPLAY-DAY-TIME-C0/stDev,LST-DISPLAY-DAY-TIME-C0/sampleCount,LST-DISPLAY-DAY-TIME-C0/noDataCount,LST-DISPLAY-DAY-TIME-C0/median,LST-DISPLAY-DAY-TIME-C0/p10,LST-DISPLAY-DAY-TIME-C0/p90
2020-01-01T00:00:00.000Z,292.8399963378906,292.8399963378906,292.8399963378906,0,121,0,292.8399963378906,292.8399963378906,292.8399963378906
2020-01-02T00:00:00.000Z,293.7099914550781,293.7099914550781,293.7099914550781,0,121,0,293.7099914550781,293.7099914550781,293.7099914550781
2020-01-04T00:00:00.000Z,295.6300048828125,295.6300048828125,295.6300048828125,0,121,0,295.6300048828125,295.6300048828125,295.6300048828125
2020-01-06T00:00:00.000Z,295.510009765625,295.510009765625,295.510009765625,0,121,0,295.510009765625,295.510009765625,295.510009765625
2020-01-08T00:00:00.000Z,293.3599853515625,293.3599853515625,293.3599853515625,0,121,0,293.3599853515625,293.3599853515625,293.3599853515625
2020-01-09T00:00:00.000Z,296.57000732421875,296.57000732421875,296.57000732421875,0,121,0,296.57000732421875,296.57000732421875,296.57000732421875
2020-01-11T00:00:00.000Z,297.3699951171875,297.3699951171875,297.3699951171875,0,121,0,297.3699951171875,297.3699951171875,297.3699951171875
2020-01-13T00:00:00.000Z,294.7799987792969,294.7799987792969,294.7799987792969,0,121,0,294.7799987792969,294.7799987792969,294.7799987792969
2020-01-15T00:00:00.000Z,295.239990234375,295.239990234375,295.239990234375,0,121,0,295.239990234375,295.239990234375,295.239990234375
2020-01-16T00:00:00.000Z,295.5799865722656,295.5799865722656,295.5799865722656,0,121,0,295.5799865722656,295.5799865722656,295.5799865722656
2020-01-17T00:00:00.000Z,295.3299865722656,295.3299865722656,295.3299865722656,0,121,0,295.3299865722656,295.3299865722656,295.3299865722656
2020-01-18T00:00:00.000Z,298.2099914550781,298.2099914550781,298.2099914550781,0,121,0,298.2099914550781,298.2099914550781,298.2099914550781
2020-01-20T00:00:00.000Z,296.25,296.25,296.25,0,121,0,296.25,296.25,296.25
2020-01-22T00:00:00.000Z,295.8500061035156,295.8500061035156,295.8500061035156,0,121,0,295.8500061035156,295.8500061035156,295.8500061035156
2020-01-24T00:00:00.000Z,293.6600036621094,293.6600036621094,293.6600036621094,0,121,0,293.6600036621094,293.6600036621094,293.6600036621094
2020-01-25T00:00:00.000Z,296.0899963378906,296.0899963378906,296.0899963378906,0,121,0,296.0899963378906,296.0899963378906,296.0899963378906
2020-01-27T00:00:00.000Z,295.510009765625,295.510009765625,295.510009765625,0,121,0,295.510009765625,295.510009765625,295.510009765625
2020-01-29T00:00:00.000Z,295.260009765625,295.260009765625,295.260009765625,0,121,0,295.260009765625,295.260009765625,295.260009765625
2020-01-31T00:00:00.000Z,295.25,295.25,295.25,0,121,0,295.25,295.25,295.25
2020-02-01T00:00:00.000Z,294.3399963378906,294.3399963378906,294.3399963378906,0,121,0,294.3399963378906,294.3399963378906,294.3399963378906
2020-02-02T00:00:00.000Z,292.0299987792969,292.0299987792969,292.0299987792969,0,121,0,292.0299987792969,292.0299987792969,292.0299987792969
2020-02-03T00:00:00.000Z,298,298,298,0,121,0,298,298,298
2020-02-05T00:00:00.000Z,297.6000061035156,297.6000061035156,297.6000061035156,0,121,0,297.6000061035156,297.6000061035156,297.6000061035156
