"location","year_month","month_min"
"Altamira",2013-10-01,13.74
"Altamira",2013-11-01,12.41
"Altamira",2013-12-01,11.25
"Altamira",2014-01-01,11.56
"Altamira",2014-02-01,10.83
"Altamira",2014-03-01,13.35
"Altamira",2014-04-01,13.78
"Altamira",2014-05-01,15
"Altamira",2014-06-01,14.77
"Altamira",2014-07-01,14.63
"Altamira",2014-08-01,14.12
"Altamira",2014-09-01,14.63
"Altamira",2014-10-01,13.85
"Altamira",2014-11-01,13.14
"Altamira",2014-12-01,12.41
"Altamira",2015-01-01,12.89
"Altamira",2015-02-01,12.48
"Altamira",2015-03-01,12.75
"Altamira",2015-04-01,13.6
"Altamira",2015-05-01,15.4
"Altamira",2015-06-01,14.3
"Altamira",2015-07-01,13.8
"Altamira",2015-08-01,15.1
"Altamira",2015-09-01,15.2
"Altamira",2015-10-01,13.5
"Altamira",2015-11-01,13.6
"Altamira",2015-12-01,12.5
"Altamira",2016-01-01,11.2
"Altamira",2016-02-01,14
"Altamira",2016-03-01,13.3
"Altamira",2016-04-01,14.9
"Altamira",2016-05-01,14
"Altamira",2016-06-01,13.1
"Altamira",2016-07-01,14.4
"Altamira",2016-08-01,14.4
"Altamira",2016-09-01,14.7
"Altamira",2016-10-01,14.5
"Altamira",2016-11-01,12
"Altamira",2016-12-01,10.2
"Altamira",2017-01-01,12.2
"Altamira",2017-02-01,11.8
"Altamira",2017-03-01,14.4
"Altamira",2017-06-01,14.8
"Altamira",2017-07-01,13
"Altamira",2017-08-01,14.4
"Altamira",2017-09-01,13
"Altamira",2017-10-01,12.3
"Altamira",2017-11-01,12
"Altamira",2017-12-01,12.2
"Altamira",2018-01-01,11.1
"Altamira",2018-02-01,12
"Altamira",2018-03-01,12.2
"Altamira",2018-04-01,13.2
"Altamira",2018-05-01,13.8
"Altamira",2018-06-01,13.9
"Altamira",2018-07-01,11.9
"Altamira",2018-08-01,13.1
"Altamira",2018-09-01,10.6
"Altamira",2018-10-01,13.3
"Altamira",2018-11-01,11.3
"Altamira",2018-12-01,11.4
"Altamira",2019-01-01,11.7
"Altamira",2019-02-01,12.3
"Altamira",2019-03-01,13.6
"Altamira",2019-04-01,16.1
"Altamira",2019-05-01,15.3
"Altamira",2019-06-01,12.3
"Altamira",2019-07-01,14.8
"Altamira",2019-08-01,13.9
"Altamira",2019-09-01,14
"Altamira",2019-10-01,11.6
"Altamira",2019-11-01,12.8
"Altamira",2019-12-01,12.7
"Altamira",2020-01-01,13
"Altamira",2020-02-01,11.7
"Altamira",2020-03-01,12.8
"Altamira",2020-04-01,14.6
"Altamira",2020-05-01,14.4
"Altamira",2020-06-01,13.9
"Altamira",2020-07-01,13.7
"Altamira",2020-08-01,14.1
"Altamira",2020-09-01,13.9
"Altamira",2020-10-01,12.8
"Altamira",2020-11-01,11.2
"Altamira",2020-12-01,11
"Altamira",2021-01-01,10.4
"Altamira",2021-02-01,10.7
"Altamira",2021-03-01,13
"Altamira",2021-04-01,13.3
"Altamira",2021-05-01,14.3
"Altamira",2021-06-01,13.5
"Altamira",2021-07-01,14.1
"Altamira",2021-08-01,13.9
"Altamira",2021-09-01,14.1
"Altamira",2021-10-01,12.8
"Altamira",2021-11-01,12.4
"Altamira",2021-12-01,11
"Altamira",2022-01-01,10.8
"Altamira",2022-02-01,12
"Altamira",2022-03-01,12.5
"Altamira",2022-04-01,14.6
"Altamira",2022-05-01,14
"Altamira",2022-06-01,11.7
"Altamira",2022-07-01,14
"Altamira",2022-08-01,14
"Altamira",2022-09-01,14.4
"Altamira",2022-10-01,13.2
"Altamira",2022-11-01,10.4
"Altamira",2022-12-01,11
"Altamira",2023-01-01,11.5
"Altamira",2023-02-01,11.4
"Altamira",2023-03-01,13.2
"Altamira",2023-04-01,12.1
"Altamira",2023-05-01,14.4
"Altamira",2023-06-01,15.2
"Altamira",2023-07-01,14.5
"Altamira",2023-08-01,15
"Altamira",2023-09-01,15.7
"Altamira",2023-10-01,14.5
"Altamira",2023-11-01,12.3
"Altamira",2023-12-01,12.4
