"location","index","date","value"
"Altamira","temp_max_C",1999-12-21,23.91
"Altamira","temp_max_C",1999-12-22,20.51
"Altamira","temp_max_C",1999-12-23,22.65
"Altamira","temp_max_C",1999-12-24,24.52
"Altamira","temp_max_C",1999-12-25,24.96
"Altamira","temp_max_C",1999-12-26,24.04
"Altamira","temp_max_C",1999-12-27,22.41
"Altamira","temp_max_C",1999-12-28,24.54
"Altamira","temp_max_C",1999-12-29,21.57
"Altamira","temp_max_C",1999-12-30,21.07
"Altamira","temp_max_C",1999-12-31,24.26
"Altamira","temp_max_C",2000-01-01,24.06
"Altamira","temp_max_C",2000-01-02,24.72
"Altamira","temp_max_C",2000-01-03,22.51
"Altamira","temp_max_C",2000-01-04,22.63
"Altamira","temp_max_C",2000-01-05,22.99
"Altamira","temp_max_C",2000-01-06,23.01
"Altamira","temp_max_C",2000-01-07,22.91
"Altamira","temp_max_C",2000-01-08,23.18
"Altamira","temp_max_C",2000-01-09,21.15
"Altamira","temp_max_C",2000-01-10,19.94
"Altamira","temp_max_C",2000-01-11,23.75
"Altamira","temp_max_C",2000-01-12,24.9
"Altamira","temp_max_C",2000-01-13,24.22
"Altamira","temp_max_C",2000-01-14,23.45
"Altamira","temp_max_C",2000-01-15,25.88
"Altamira","temp_max_C",2000-01-16,24.17
"Altamira","temp_max_C",2000-01-17,25.31
"Altamira","temp_max_C",2000-01-18,24.07
"Altamira","temp_max_C",2000-01-19,23.07
"Altamira","temp_max_C",2000-01-20,23.67
"Altamira","temp_max_C",2000-01-21,23.34
"Altamira","temp_max_C",2000-01-22,25
"Altamira","temp_max_C",2000-01-23,23.6
"Altamira","temp_max_C",2000-01-24,25.09
"Altamira","temp_max_C",2000-01-25,24.77
"Altamira","temp_max_C",2000-01-26,24.78
"Altamira","temp_max_C",2000-01-27,24.86
"Altamira","temp_max_C",2000-01-28,24.9
"Altamira","temp_max_C",2000-01-29,24.33
"Altamira","temp_max_C",2000-01-30,23.34
"Altamira","temp_max_C",2000-01-31,22.03
"Altamira","temp_max_C",2000-02-01,24.9
"Altamira","temp_max_C",2000-02-02,24.43
"Altamira","temp_max_C",2000-02-03,24.2
"Altamira","temp_max_C",2000-02-04,23.19
"Altamira","temp_max_C",2000-02-05,22.84
"Altamira","temp_max_C",2000-02-06,23.73
"Altamira","temp_max_C",2000-02-07,23.1
"Altamira","temp_max_C",2000-02-08,25.96
"Altamira","temp_max_C",2000-02-09,25.86
"Altamira","temp_max_C",2000-02-10,25.8
"Altamira","temp_max_C",2000-02-11,25.16
"Altamira","temp_max_C",2000-02-12,25.2
"Altamira","temp_max_C",2000-02-13,25.36
"Altamira","temp_max_C",2000-02-14,25.84
"Altamira","temp_max_C",2000-02-15,26.36
"Altamira","temp_max_C",2000-02-16,25.7
"Altamira","temp_max_C",2000-02-17,25.1
"Altamira","temp_max_C",2000-02-18,21.31
"Altamira","temp_max_C",2000-02-19,23.66
"Altamira","temp_max_C",2000-02-20,26.49
"Altamira","temp_max_C",2000-02-21,26.66
"Altamira","temp_max_C",2000-02-22,22.73
"Altamira","temp_max_C",2000-02-23,24.9
"Altamira","temp_max_C",2000-02-24,24.8
"Altamira","temp_max_C",2000-02-25,25.43
"Altamira","temp_max_C",2000-02-26,24.01
"Altamira","temp_max_C",2000-02-27,24.85
"Altamira","temp_max_C",2000-02-28,24.37
"Altamira","temp_max_C",2000-02-29,25.8
"Altamira","temp_max_C",2000-03-01,26.24
"Altamira","temp_max_C",2000-03-02,26.67
"Altamira","temp_max_C",2000-03-03,26.24
"Altamira","temp_max_C",2000-03-04,26.5
"Altamira","temp_max_C",2000-03-05,25.43
"Altamira","temp_max_C",2000-03-06,24.11
"Altamira","temp_max_C",2000-03-07,23.34
"Altamira","temp_max_C",2000-03-08,23.8
"Altamira","temp_max_C",2000-03-09,21.41
"Altamira","temp_max_C",2000-03-10,25.22
"Altamira","temp_max_C",2000-03-11,26.51
"Altamira","temp_max_C",2000-03-12,26.15
"Altamira","temp_max_C",2000-03-13,26.3
"Altamira","temp_max_C",2000-03-14,25.84
"Altamira","temp_max_C",2000-03-15,24.64
"Altamira","temp_max_C",2000-03-16,26.34
"Altamira","temp_max_C",2000-03-17,25.74
"Altamira","temp_max_C",2000-03-18,23.3
"Altamira","temp_max_C",2000-03-19,24.88
"Altamira","temp_max_C",2000-03-20,24.58
"Altamira","temp_max_C",2000-03-21,25.38
"Altamira","temp_max_C",2000-03-22,25.15
"Altamira","temp_max_C",2000-03-23,26.37
"Altamira","temp_max_C",2000-03-24,26.07
"Altamira","temp_max_C",2000-03-25,24.35
"Altamira","temp_max_C",2000-03-26,25.87
"Altamira","temp_max_C",2000-03-27,24.88
"Altamira","temp_max_C",2000-03-28,24.11
"Altamira","temp_max_C",2000-03-29,25.79
"Altamira","temp_max_C",2000-03-30,25.02
"Altamira","temp_max_C",2000-03-31,24.65
"Altamira","temp_max_C",2000-04-01,24.85
"Altamira","temp_max_C",2000-04-02,25.49
"Altamira","temp_max_C",2000-04-03,26.61
"Altamira","temp_max_C",2000-04-04,26.41
"Altamira","temp_max_C",2000-04-05,24.18
"Altamira","temp_max_C",2000-04-06,24.96
"Altamira","temp_max_C",2000-04-07,25.94
"Altamira","temp_max_C",2000-04-08,25.55
"Altamira","temp_max_C",2000-04-09,26.54
"Altamira","temp_max_C",2000-04-10,24.52
"Altamira","temp_max_C",2000-04-11,25.15
"Altamira","temp_max_C",2000-04-12,24.88
"Altamira","temp_max_C",2000-04-13,26.31
"Altamira","temp_max_C",2000-04-14,23.88
"Altamira","temp_max_C",2000-04-15,25.19
"Altamira","temp_max_C",2000-04-16,24.8
"Altamira","temp_max_C",2000-04-17,23.62
"Altamira","temp_max_C",2000-04-18,23.76
"Altamira","temp_max_C",2000-04-19,23.01
"Altamira","temp_max_C",2000-04-20,25.15
"Altamira","temp_max_C",2000-04-21,23.48
"Altamira","temp_max_C",2000-04-22,25.82
"Altamira","temp_max_C",2000-04-23,24.68
"Altamira","temp_max_C",2000-04-24,24.31
"Altamira","temp_max_C",2000-04-25,23.25
"Altamira","temp_max_C",2000-04-26,24.06
"Altamira","temp_max_C",2000-04-27,23.62
"Altamira","temp_max_C",2000-04-28,24.52
"Altamira","temp_max_C",2000-04-29,22.74
"Altamira","temp_max_C",2000-04-30,24.68
"Altamira","temp_max_C",2000-05-01,25.1
"Altamira","temp_max_C",2000-05-02,23.81
"Altamira","temp_max_C",2000-05-03,24.08
"Altamira","temp_max_C",2000-05-04,25.86
"Altamira","temp_max_C",2000-05-05,23.84
"Altamira","temp_max_C",2000-05-06,24.95
"Altamira","temp_max_C",2000-05-07,23.51
"Altamira","temp_max_C",2000-05-08,24.75
"Altamira","temp_max_C",2000-05-09,22.97
"Altamira","temp_max_C",2000-05-10,23.69
"Altamira","temp_max_C",2000-05-11,22.83
"Altamira","temp_max_C",2000-05-12,25.13
"Altamira","temp_max_C",2000-05-13,25.08
"Altamira","temp_max_C",2000-05-14,24.11
"Altamira","temp_max_C",2000-05-15,25.36
"Altamira","temp_max_C",2000-05-16,24.24
"Altamira","temp_max_C",2000-05-17,24.34
"Altamira","temp_max_C",2000-05-18,23.09
"Altamira","temp_max_C",2000-05-19,21.68
"Altamira","temp_max_C",2000-05-20,22.9
"Altamira","temp_max_C",2000-05-21,22.91
"Altamira","temp_max_C",2000-05-22,23.21
"Altamira","temp_max_C",2000-05-23,24.14
"Altamira","temp_max_C",2000-05-24,24.86
"Altamira","temp_max_C",2000-05-25,23.57
"Altamira","temp_max_C",2000-05-26,23.04
"Altamira","temp_max_C",2000-05-27,23.71
"Altamira","temp_max_C",2000-05-28,25.04
"Altamira","temp_max_C",2000-05-29,21.83
"Altamira","temp_max_C",2000-05-30,23.9
"Altamira","temp_max_C",2000-05-31,25.28
"Altamira","temp_max_C",2000-06-01,23.46
"Altamira","temp_max_C",2000-06-02,25.27
"Altamira","temp_max_C",2000-06-03,24.48
"Altamira","temp_max_C",2000-06-04,22.69
"Altamira","temp_max_C",2000-06-05,24.94
"Altamira","temp_max_C",2000-06-06,23.34
"Altamira","temp_max_C",2000-06-07,23.63
"Altamira","temp_max_C",2000-06-08,21.96
"Altamira","temp_max_C",2000-06-09,23.31
"Altamira","temp_max_C",2000-06-10,23.14
"Altamira","temp_max_C",2000-06-11,25.12
"Altamira","temp_max_C",2000-06-12,22.9
"Altamira","temp_max_C",2000-06-13,24.55
"Altamira","temp_max_C",2000-06-14,22.82
"Altamira","temp_max_C",2000-06-15,23.78
"Altamira","temp_max_C",2000-06-16,21.04
"Altamira","temp_max_C",2000-06-17,21.8
"Altamira","temp_max_C",2000-06-18,22.51
"Altamira","temp_max_C",2000-06-19,24.85
"Altamira","temp_max_C",2000-06-20,22.1
"Altamira","temp_max_C",2000-06-21,22.65
"Altamira","temp_max_C",2000-06-22,24.21
"Altamira","temp_max_C",2000-06-23,23.72
"Altamira","temp_max_C",2000-06-24,22.65
"Altamira","temp_max_C",2000-06-25,22.59
"Altamira","temp_max_C",2000-06-26,24.02
"Altamira","temp_max_C",2000-06-27,22.18
"Altamira","temp_max_C",2000-06-28,24.37
"Altamira","temp_max_C",2000-06-29,25.15
"Altamira","temp_max_C",2000-06-30,24.05
"Altamira","temp_max_C",2000-07-01,23.18
"Altamira","temp_max_C",2000-07-02,24.22
"Altamira","temp_max_C",2000-07-03,24.02
"Altamira","temp_max_C",2000-07-04,23.04
"Altamira","temp_max_C",2000-07-05,23.15
"Altamira","temp_max_C",2000-07-06,22.98
"Altamira","temp_max_C",2000-07-07,23.58
"Altamira","temp_max_C",2000-07-08,22.99
"Altamira","temp_max_C",2000-07-09,24.47
"Altamira","temp_max_C",2000-07-10,23.78
"Altamira","temp_max_C",2000-07-11,24.68
"Altamira","temp_max_C",2000-07-12,22.82
"Altamira","temp_max_C",2000-07-13,24.82
"Altamira","temp_max_C",2000-07-14,25.32
"Altamira","temp_max_C",2000-07-15,22.79
"Altamira","temp_max_C",2000-07-16,22.27
"Altamira","temp_max_C",2000-07-17,21.78
"Altamira","temp_max_C",2000-07-18,21.38
"Altamira","temp_max_C",2000-07-19,23.63
"Altamira","temp_max_C",2000-07-20,22.79
"Altamira","temp_max_C",2000-07-21,22.42
"Altamira","temp_max_C",2000-07-22,22.11
"Altamira","temp_max_C",2000-07-23,21.27
"Altamira","temp_max_C",2000-07-24,24.03
"Altamira","temp_max_C",2000-07-25,24.19
"Altamira","temp_max_C",2000-07-26,23.01
"Altamira","temp_max_C",2000-07-27,22.45
"Altamira","temp_max_C",2000-07-28,22.32
"Altamira","temp_max_C",2000-07-29,23.54
"Altamira","temp_max_C",2000-07-30,21.08
"Altamira","temp_max_C",2000-07-31,22.23
"Altamira","temp_max_C",2000-08-01,24.13
"Altamira","temp_max_C",2000-08-02,23.37
"Altamira","temp_max_C",2000-08-03,22.38
"Altamira","temp_max_C",2000-08-04,24.13
"Altamira","temp_max_C",2000-08-05,23.39
"Altamira","temp_max_C",2000-08-06,23.46
"Altamira","temp_max_C",2000-08-07,25.02
"Altamira","temp_max_C",2000-08-08,23.24
"Altamira","temp_max_C",2000-08-09,22.8
"Altamira","temp_max_C",2000-08-10,23.29
"Altamira","temp_max_C",2000-08-11,24.72
"Altamira","temp_max_C",2000-08-12,24.25
"Altamira","temp_max_C",2000-08-13,24.61
"Altamira","temp_max_C",2000-08-14,24
"Altamira","temp_max_C",2000-08-15,24.79
"Altamira","temp_max_C",2000-08-16,22.89
"Altamira","temp_max_C",2000-08-17,24.38
"Altamira","temp_max_C",2000-08-18,24.63
"Altamira","temp_max_C",2000-08-19,25.6
"Altamira","temp_max_C",2000-08-20,25.07
"Altamira","temp_max_C",2000-08-21,24.82
"Altamira","temp_max_C",2000-08-22,23.19
"Altamira","temp_max_C",2000-08-23,24.65
"Altamira","temp_max_C",2000-08-24,22.65
"Altamira","temp_max_C",2000-08-25,25.83
"Altamira","temp_max_C",2000-08-26,23.99
"Altamira","temp_max_C",2000-08-27,24.64
"Altamira","temp_max_C",2000-08-28,24.66
"Altamira","temp_max_C",2000-08-29,24.03
"Altamira","temp_max_C",2000-08-30,23.09
"Altamira","temp_max_C",2000-08-31,23.92
"Altamira","temp_max_C",2000-09-01,26.06
"Altamira","temp_max_C",2000-09-02,23.63
"Altamira","temp_max_C",2000-09-03,21.32
"Altamira","temp_max_C",2000-09-04,25.01
"Altamira","temp_max_C",2000-09-05,22.48
"Altamira","temp_max_C",2000-09-06,24.64
"Altamira","temp_max_C",2000-09-07,26.23
"Altamira","temp_max_C",2000-09-08,24.29
"Altamira","temp_max_C",2000-09-09,23.94
"Altamira","temp_max_C",2000-09-10,25.37
"Altamira","temp_max_C",2000-09-11,22.21
"Altamira","temp_max_C",2000-09-12,22.71
"Altamira","temp_max_C",2000-09-13,23.98
"Altamira","temp_max_C",2000-09-14,24.97
"Altamira","temp_max_C",2000-09-15,24.55
"Altamira","temp_max_C",2000-09-16,22.31
"Altamira","temp_max_C",2000-09-17,24.37
"Altamira","temp_max_C",2000-09-18,24.04
"Altamira","temp_max_C",2000-09-19,23.94
"Altamira","temp_max_C",2000-09-20,24.56
"Altamira","temp_max_C",2000-09-21,22.98
"Altamira","temp_max_C",2000-09-22,21.99
"Altamira","temp_max_C",2000-09-23,24.8
"Altamira","temp_max_C",2000-09-24,25.33
"Altamira","temp_max_C",2000-09-25,20.67
"Altamira","temp_max_C",2000-09-26,22.23
"Altamira","temp_max_C",2000-09-27,23.91
"Altamira","temp_max_C",2000-09-28,22.51
"Altamira","temp_max_C",2000-09-29,23.25
"Altamira","temp_max_C",2000-09-30,20.45
"Altamira","temp_max_C",2000-10-01,23.28
"Altamira","temp_max_C",2000-10-02,22.29
"Altamira","temp_max_C",2000-10-03,24.52
"Altamira","temp_max_C",2000-10-04,25.69
"Altamira","temp_max_C",2000-10-05,24.32
"Altamira","temp_max_C",2000-10-06,24.81
"Altamira","temp_max_C",2000-10-07,26.46
"Altamira","temp_max_C",2000-10-08,24.11
"Altamira","temp_max_C",2000-10-09,24.06
"Altamira","temp_max_C",2000-10-10,26.01
"Altamira","temp_max_C",2000-10-11,25.28
"Altamira","temp_max_C",2000-10-12,23.94
"Altamira","temp_max_C",2000-10-13,24.26
"Altamira","temp_max_C",2000-10-14,24.25
"Altamira","temp_max_C",2000-10-15,24.01
"Altamira","temp_max_C",2000-10-16,24.65
"Altamira","temp_max_C",2000-10-17,24.06
"Altamira","temp_max_C",2000-10-18,23.12
"Altamira","temp_max_C",2000-10-19,25.09
"Altamira","temp_max_C",2000-10-20,24.22
"Altamira","temp_max_C",2000-10-21,23.31
"Altamira","temp_max_C",2000-10-22,23.88
"Altamira","temp_max_C",2000-10-23,22.65
"Altamira","temp_max_C",2000-10-24,24.31
"Altamira","temp_max_C",2000-10-25,24.78
"Altamira","temp_max_C",2000-10-26,22.08
"Altamira","temp_max_C",2000-10-27,23.16
"Altamira","temp_max_C",2000-10-28,23.49
"Altamira","temp_max_C",2000-10-29,24.03
"Altamira","temp_max_C",2000-10-30,22.81
"Altamira","temp_max_C",2000-10-31,22.8
"Altamira","temp_max_C",2000-11-01,21.56
"Altamira","temp_max_C",2000-11-02,19.42
