poly_id,year,month,forest,open_land,lst_mean,cooling,elv_mean,n_points,month_date
1,2020,10,18.56263202868012,22.77473722759048,20.668684628135303,4.212105198910362,14.236887454986572,19,2020-10-01
1,2020,11,18.575789923416963,23.9173667506168,21.24657833701688,5.341576827199836,14.236887454986572,19,2020-11-01
1,2020,12,19.433996582031273,24.958999633789084,22.19649810791018,5.525003051757812,14.236887454986572,20,2020-12-01
1,2021,1,19.6221075760691,25.666314697265648,22.644211136667376,6.044207121196546,14.236887454986572,19,2021-01-01
1,2021,2,20.354118077895244,28.424112836052412,24.389115456973826,8.069994758157168,14.236887454986572,17,2021-02-01
1,2021,3,20.120523874383245,28.899999036287028,24.510261455335137,8.779475161903783,14.236887454986572,19,2021-03-01
1,2021,4,19.92684004934213,28.66052438836351,24.29368221885282,8.733684339021382,14.236887454986572,19,2021-04-01
1,2021,5,19.563999938964866,27.277500915527366,23.420750427246116,7.7135009765625,14.236887454986572,20,2021-05-01
1,2021,6,20.01684120579772,26.82999813682157,23.423419671309645,6.8131569310238485,14.236887454986572,19,2021-06-01
1,2021,7,20.173160271895583,26.24842304430512,23.21079165810035,6.075262772409539,14.236887454986572,19,2021-07-01
1,2021,8,19.36055569118926,25.255002170138912,22.307778930664085,5.894446478949653,14.236887454986572,18,2021-08-01
1,2021,9,20.404213674444925,26.30841899671055,23.356316335577738,5.904205322265625,14.236887454986572,19,2021-09-01
1,2021,10,19.799002075195336,27.316497802734396,23.557749938964868,7.517495727539062,14.236887454986572,20,2021-10-01
1,2021,11,19.958422530324857,28.014735492907096,23.986579011615976,8.056312962582236,14.236887454986572,19,2021-11-01
1,2021,12,20.21789261667354,27.172631835937523,23.695262226305534,6.95473921926398,14.236887454986572,19,2021-12-01
1,2022,1,19.535262579666963,26.10158048930923,22.8184215344881,6.56631790964227,14.236887454986572,19,2022-01-01
1,2022,2,19.208818502987157,27.97940889246326,23.594113697725206,8.770590389476103,14.236887454986572,17,2022-02-01
