date,t1300,t1330,t1400
2020-10-01,21.348217205668618,21.870726403524714,22.39323560138081
2020-11-01,20.85507585392446,21.314917559956427,21.774759265988394
2020-12-01,19.713377770712214,20.75014932321949,21.786920875726764
2021-01-01,18.927846793241315,20.31099711573404,21.694147438226764
2021-02-01,19.907384402252944,21.101422261082917,22.295460119912832
2021-03-01,20.08714003452036,21.342411768713646,22.59768350290699
2021-04-01,21.67874954578491,22.396781318132298,23.114813090479686
2021-05-01,21.956371502543618,22.35296375363373,22.749556004723843
2021-06-01,21.566813908066877,22.021758607376455,22.47670330668609
2021-07-01,21.37820108103199,21.892256200036343,22.406311319040697
2021-08-01,21.147329215116315,21.683808366642438,22.220287518168618
2021-09-01,21.416349473110472,21.952056458938955,22.487763444767438
2021-10-01,21.5472542696221,22.07569097474567,22.604127679869237
2021-11-01,20.662863372093057,21.34180425599567,22.02074513989828
2021-12-01,20.03333257630817,21.087100290697663,22.140868005087214
2022-01-01,18.70842114825581,20.103784179687523,21.499147211119237
2022-02-01,18.766668559229686,20.269544308684658,21.772420058139573
2022-03-01,20.486196402616315,21.74804857830668,23.0099007539971
2022-04-01,21.38486101017446,22.086512649891006,22.788164289607607
2022-05-01,22.00145235283435,22.414606422601764,22.827760492369237
2022-06-01,21.009196720566877,21.392525890261652,21.775855059956427
2022-07-01,21.191796875000023,21.708415470566877,22.22503406613373
2022-08-01,21.197026026526203,21.753479287790697,22.309932549055247
2022-09-01,21.406555459665697,21.848739553052326,22.290923646438955
2022-10-01,21.206990370639573,21.741235351562523,22.275480332485472
2022-11-01,20.70848360283435,21.284317655341624,21.860151707848843
2022-12-01,19.268871502543618,20.461739757449152,21.654608012354686
2023-01-01,18.919256449854686,20.282739257812523,21.64622206577036
2023-02-01,19.821401480741315,21.070984170603197,22.320566860465135
2023-03-01,20.4012581758721,21.524168786337214,22.647079396802326
2023-04-01,21.639942541787832,22.542450944767438,23.4449593477471
2023-05-01,22.542814316860472,23.241175735828506,23.93953715479654
2023-06-01,22.273794058866315,22.80252316497092,23.331252271075584
2023-07-01,22.075302053052326,22.699035928415697,23.322769803779067
2023-08-01,22.143962345566877,22.687961596111904,23.23196084665699
2023-09-01,22.25961686954946,22.886334370457917,23.513051871366315
2023-10-01,21.976470521438955,22.529037404614826,23.081604287790697
2023-11-01,21.862314907340135,22.369517055777635,22.876719204215135
2023-12-01,21.007646711482607,21.990210528706427,22.972774345930247
2024-01-01,20.316825263444798,21.61806072856109,22.919296193677326
2024-02-01,21.06097156613373,22.2279183321221,23.394865098110472
2024-03-01,21.907537699854686,23.033483035065444,24.159428370276203
2024-04-01,22.370161473473843,23.231733739098843,24.093306004723843
2024-05-01,23.148975744912832,23.602342046693366,24.055708348473843
2024-06-01,22.2603890352471,22.665835642260163,23.07128224927328
2024-07-01,22.028926689680247,22.49184854196949,22.95477039425873
2024-08-01,21.86711255450581,22.369218977107607,22.87132539970935
2024-09-01,22.13451467114828,22.578121025617747,23.021727380087214
2024-10-01,21.913283521075584,22.397246888626455,22.881210256177326
