date,t1330,t0130
2020-10-01,23.47766851380817,19.733164516715135
2020-11-01,23.13758062318317,19.7225472383721
2020-12-01,24.615091297238394,18.968482013081427
2021-01-01,25.421680823037832,18.707189089752944
2021-02-01,26.234794013444798,19.716460755813955
2021-03-01,26.240676099200584,19.372080532340135
2021-04-01,25.196776208212214,20.176489825581427
2021-05-01,24.6859261446221,20.3619515352471
2021-06-01,24.29407476380817,19.974074536700584
2021-07-01,24.59091569767446,20.04125295239828
2021-08-01,23.831008130450584,19.972910610465135
2021-09-01,23.95911382630817,19.752849064316877
2021-10-01,23.969282567223843,19.62880291606109
2021-11-01,23.680078125000023,19.126571584302326
2021-12-01,24.7369515352471,19.130347247456427
2022-01-01,25.89188431140991,18.629569404069798
2022-02-01,26.655590252543618,18.679016397165697
2022-03-01,26.60296375363373,19.750600699491315
2022-04-01,24.846644485828506,20.083165652252944
2022-05-01,24.294307549055247,20.301921329941877
2022-06-01,23.18963935319772,19.655641351744237
2022-07-01,24.03143055050873,19.91483353015991
2022-08-01,24.078186319040697,19.810347020348843
2022-09-01,23.69315384265991,19.812919013444798
2022-10-01,23.260530977470978,19.590540970203506
2022-11-01,23.215103788154067,19.353821084665697
2022-12-01,24.55628179505817,18.349625272529067
2023-01-01,25.395052461845978,18.643916924055247
2023-02-01,27.385173283066877,19.596105105377944
2023-03-01,25.986451898619237,19.628371411700584
2023-04-01,26.11111123728199,20.304118595566877
2023-05-01,26.356750772165697,20.8531624727471
2023-06-01,25.362065089026203,20.919551689680247
2023-07-01,25.275826671511652,20.832228833575584
2023-08-01,25.167439589389573,20.84051258175873
2023-09-01,25.286932231104686,20.537551099200584
2023-10-01,24.292456622456427,20.45207349200581
2023-11-01,24.597819767441877,20.540724927325584
2023-12-01,25.92919240552328,20.315791924055247
2024-01-01,27.374976153706427,20.27370889353199
2024-02-01,27.777053052325584,21.004887354651203
2024-03-01,27.901632903343057,21.329060683139573
2024-04-01,26.774140397892438,20.98504383175873
2024-05-01,25.445129678415697,21.529142441860472
2024-06-01,24.465972474563955,20.919523301235472
2024-07-01,24.623204714752944,21.000044285973843
2024-08-01,24.75309888263081,20.626191179142438
2024-09-01,24.402876317223843,20.814156749636652
2024-10-01,24.117339662063955,20.29285406068317
