date,precipitation_mm
2020-10-01T00:00:00Z,210.35617866098534
2020-11-01T00:00:00Z,274.3608001998604
2020-12-01T00:00:00Z,118.9088260235135
2021-01-01T00:00:00Z,25.919939995050257
2021-02-01T00:00:00Z,26.618472370522117
2021-03-01T00:00:00Z,25.573316270607013
2021-04-01T00:00:00Z,67.0113147203919
2021-05-01T00:00:00Z,117.14260879535834
2021-06-01T00:00:00Z,224.59103392307148
2021-07-01T00:00:00Z,149.6129749927583
2021-08-01T00:00:00Z,197.94034922148944
2021-09-01T00:00:00Z,155.2883893153955
2021-10-01T00:00:00Z,145.9955958552052
2021-11-01T00:00:00Z,131.71450779665
2021-12-01T00:00:00Z,44.4603657135388
2022-01-01T00:00:00Z,14.493052682493811
2022-02-01T00:00:00Z,15.303270881790816
2022-03-01T00:00:00Z,21.784076422485413
2022-04-01T00:00:00Z,176.39678093431473
2022-05-01T00:00:00Z,127.08270795058546
2022-06-01T00:00:00Z,197.2331418439226
2022-07-01T00:00:00Z,187.9089028238817
2022-08-01T00:00:00Z,165.94076646643495
2022-09-01T00:00:00Z,169.7924731266793
2022-10-01T00:00:00Z,245.73189053186323
2022-11-01T00:00:00Z,223.2932824273269
2022-12-01T00:00:00Z,31.491005877818
2023-01-01T00:00:00Z,20.759750067406646
2023-02-01T00:00:00Z,13.217173693573026
2023-03-01T00:00:00Z,41.84768519494249
2023-04-01T00:00:00Z,42.520682622887044
2023-05-01T00:00:00Z,95.9523867945685
2023-06-01T00:00:00Z,124.34316266241461
2023-07-01T00:00:00Z,103.380658311856
2023-08-01T00:00:00Z,158.92887883278172
2023-09-01T00:00:00Z,129.89030117277318
2023-10-01T00:00:00Z,206.26475582397435
2023-11-01T00:00:00Z,211.78152339619604
2023-12-01T00:00:00Z,68.65733845239278
2024-01-01T00:00:00Z,15.65370450559787
2024-02-01T00:00:00Z,20.979929706596142
2024-03-01T00:00:00Z,25.921998039594595
2024-04-01T00:00:00Z,73.10563373869437
2024-05-01T00:00:00Z,220.05837909920618
2024-06-01T00:00:00Z,201.8378283016297
2024-07-01T00:00:00Z,260.2259805967468
2024-08-01T00:00:00Z,151.17029062753846
2024-09-01T00:00:00Z,181.27583227726782
2024-10-01T00:00:00Z,196.50281892634584
