date,ssrd_Jm2_1330,ssrd_Wm2_1330
2020-10-01,10193761.767441861,2831.6004909560725
2020-11-01,9502782.744186046,2639.6618733850128
2020-12-01,11470903.441860465,3186.3620671834624
2021-01-01,12847788.372093024,3568.8301033591733
2021-02-01,13490575.906976745,3747.382196382429
2021-03-01,14719812.209302325,4088.8367248062013
2021-04-01,13012942.744186046,3614.706317829457
2021-05-01,11369513.674418604,3158.198242894057
2021-06-01,11584485.441860465,3217.912622739018
2021-07-01,10590972.697674418,2941.9368604651163
2021-08-01,10617260.837209303,2949.2391214470285
2021-09-01,11865372.720930232,3295.9368669250644
2021-10-01,11604561.232558139,3223.4892312661495
2021-11-01,10877576.279069768,3021.548966408269
2021-12-01,11867166.511627907,3296.435142118863
2022-01-01,13572131.302325582,3770.036472868217
2022-02-01,14748639.395348838,4096.844276485788
2022-03-01,14807571.720930232,4113.2143669250645
2022-04-01,12658700.930232558,3516.3058139534883
2022-05-01,11049233.674418604,3069.23157622739
2022-06-01,9521659.023255814,2644.905284237726
2022-07-01,10734768.930232558,2981.8802583979327
2022-08-01,11505504.325581396,3195.97342377261
2022-09-01,11655683.906976745,3237.689974160207
2022-10-01,11106843.302325582,3085.234250645995
2022-11-01,9481026.046511628,2633.61834625323
2022-12-01,12451119.720930232,3458.6443669250643
2023-01-01,12935765.53488372,3593.268204134367
2023-02-01,14372917.627906976,3992.477118863049
2023-03-01,14077928.11627907,3910.535587855297
2023-04-01,14952108.418604651,4153.363449612403
2023-05-01,13298862.790697675,3694.1285529715765
2023-06-01,11490206.093023255,3191.723914728682
2023-07-01,11126199.767441861,3090.611046511628
2023-08-01,11400515.767441861,3166.809935400517
2023-09-01,12980928.255813954,3605.8134043927653
2023-10-01,9916382.604651162,2754.5507235142118
2023-11-01,10094994.093023255,2804.165025839793
2023-12-01,12268941.023255814,3408.039173126615
2024-01-01,13713303.720930232,3809.251033591731
2024-02-01,13741359.953488372,3817.0444315245477
2024-03-01,14833441.418604651,4120.400394056847
2024-04-01,14167384.279069768,3935.3845219638247
2024-05-01,12382875.906976745,3439.6877519379846
2024-06-01,9988327.767441861,2774.5354909560724
2024-07-01,9713850.232558139,2698.29173126615
2024-08-01,11248316.88372093,3124.5324677002586
2024-09-01,11151525.790697675,3097.6460529715764
2024-10-01,10545719.46511628,2929.366518087855
