year,month,forest,open_land,lst_mean,cooling,n_points,month_date
2020,10,14.317342738718315,16.221341373607366,15.269342056162841,1.9039986348890536,64,2020-10-01
2020,11,14.635354717488164,15.987059973360974,15.31120734542457,1.351705255872809,64,2020-11-01
2020,12,14.52560851140424,16.270618065302056,15.398113288353148,1.7450095538978174,64,2020-12-01
2021,1,14.526945467410433,17.06442789577945,15.79568668159494,2.5374824283690143,64,2021-01-01
2021,2,15.185985547577069,18.584839209901972,16.88541237873952,3.398853662324905,64,2021-02-01
2021,3,14.814235593147988,18.70137160048038,16.75780359681418,3.8871360073323893,64,2021-03-01
2021,4,15.205314425028858,19.477722919910263,17.34151867246956,4.2724084948814065,64,2021-04-01
2021,5,15.300667651464586,19.260794057898547,17.28073085468157,3.960126406433963,64,2021-05-01
2021,6,14.906001052567452,18.100693666536426,16.503347359551938,3.194692613968974,64,2021-06-01
2021,7,15.29733072019661,18.07319489048123,16.68526280533892,2.7758641702846183,64,2021-07-01
2021,8,14.670685236671956,17.29155786362452,15.981121550148236,2.6208726269525635,64,2021-08-01
2021,9,14.773794142307437,17.077217327438767,15.925505734873102,2.303423185131331,64,2021-09-01
2021,10,14.738592938873024,16.88379432150141,15.811193630187217,2.1452013826283833,64,2021-10-01
2021,11,14.93470841134472,16.97006094856043,15.952384679952576,2.0353525372157115,64,2021-11-01
2021,12,15.244661860135626,17.42525834971258,16.334960104924104,2.1805964895769545,64,2021-12-01
2022,1,14.646621690740325,17.376998609841134,16.01181015029073,2.73037691910081,64,2022-01-01
2022,2,14.189922624669288,17.67545097161972,15.932686798144506,3.485528346950433,64,2022-02-01
2022,3,15.241368062494669,20.118423626415755,17.679895844455213,4.877055563921087,64,2022-03-01
2022,4,14.58366857647011,19.809038512250076,17.196353544360093,5.225369935779965,64,2022-04-01
2022,5,14.492638966431267,19.38663273052251,16.93963584847689,4.893993764091245,64,2022-05-01
2022,6,13.415489914090035,16.591235394645462,15.003362654367749,3.175745480555428,64,2022-06-01
2022,7,14.918108864852815,17.53824425631796,16.228176560585386,2.6201353914651433,64,2022-07-01
2022,8,14.563236911377327,17.016815799384183,15.790026355380755,2.453578888006855,64,2022-08-01
2022,9,13.761532059171682,15.893301723423999,14.82741689129784,2.131769664252317,64,2022-09-01
2022,10,14.694753380719579,16.70728908091496,15.70102123081727,2.012535700195385,64,2022-10-01
2022,11,14.862431149446511,16.94713608495241,15.90478361719946,2.0847049355058993,64,2022-11-01
2022,12,14.942281607921387,17.230671703661113,16.086476655791248,2.2883900957397247,64,2022-12-01
2023,1,14.575525268795523,17.292195028727704,15.933860148761616,2.716669759932181,64,2023-01-01
2023,2,14.591924716278795,18.325920359855182,16.45892253806699,3.733995643576387,64,2023-02-01
2023,3,14.872272241464696,19.882826029535728,17.377549135500214,5.010553788071031,64,2023-03-01
2023,4,16.16014353178731,21.060518346134696,18.610330938961003,4.900374814347385,64,2023-04-01
2023,5,16.399778426038345,20.730903040803803,18.565340733421074,4.331124614765459,64,2023-05-01
2023,6,15.704856768823191,19.258160879285576,17.481508824054384,3.5533041104623844,64,2023-06-01
2023,7,16.859860332085724,19.609841091134726,18.234850711610225,2.7499807590490044,64,2023-07-01
2023,8,15.859256446673667,18.345866224136333,17.102561335405,2.486609777462665,64,2023-08-01
2023,9,16.17596650208535,18.48766997073297,17.33181823640916,2.3117034686476194,64,2023-09-01
2023,10,14.455483341853231,16.469962569511782,15.462722955682505,2.01447922765855,64,2023-10-01
2023,11,15.790601420272248,17.540783085737885,16.665692253005066,1.7501816654656364,64,2023-11-01
2023,12,16.721906255177934,18.732452857887576,17.727179556532754,2.0105466027096424,64,2023-12-01
2024,1,16.440767374565535,18.850063163275287,17.64541526892041,2.4092957887097524,64,2024-01-01
2024,2,16.71034445951086,20.221067568816387,18.465706014163622,3.5107231093055282,64,2024-02-01
2024,3,17.256888533254905,22.241002448297593,19.74894549077625,4.9841139150426885,64,2024-03-01
2024,4,16.740178429998863,22.307069739313828,19.523624084656344,5.566891309314965,64,2024-04-01
2024,5,16.358649135535497,21.552059635380644,18.95535438545807,5.193410499845148,64,2024-05-01
2024,6,15.178510182454334,19.497795370704686,17.33815277657951,4.319285188250352,64,2024-06-01
2024,7,15.885300328650896,19.484120916574728,17.684710622612812,3.5988205879238304,64,2024-07-01
2024,8,15.70044737845622,18.40678293252469,17.053615155490455,2.7063355540684677,64,2024-08-01
2024,9,15.816838226337978,17.935346677482553,16.876092451910264,2.1185084511445758,64,2024-09-01
2024,10,15.783722017983006,17.500342071195416,16.64203204458921,1.7166200532124096,64,2024-10-01
