year,month,forest,open_land,lst_mean,cooling,n_points,month_date
2020,10,24.242067241501328,26.140565392914283,25.191316317207807,1.8984981514129535,64,2020-10-01
2020,11,24.409423879265752,25.784439343005843,25.096931611135798,1.37501546374009,64,2020-11-01
2020,12,26.180569770384484,28.073738734175997,27.12715425228024,1.893168963791515,64,2020-12-01
2021,1,27.508149285406876,30.55654794728471,29.032348616345793,3.048398661877835,64,2021-01-01
2021,2,28.876932144616475,33.18844560299001,31.03268887380324,4.311513458373533,64,2021-02-01
2021,3,28.773578608607522,33.87538500240825,31.324481805507887,5.101806393800728,64,2021-03-01
2021,4,25.907530471352857,30.568973034609694,28.238251752981274,4.661442563256839,64,2021-04-01
2021,5,23.69439413274185,27.47082111902604,25.582607625883945,3.7764269862841946,64,2021-05-01
2021,6,24.20571653398331,27.33907229652248,25.772394415252897,3.1333557625391726,64,2021-06-01
2021,7,24.117686398797602,26.77425384970961,25.445970124253606,2.6565674509120036,64,2021-07-01
2021,8,23.100268050498514,25.487561626385496,24.293914838442003,2.3872935758869827,64,2021-08-01
2021,9,24.256769927990383,26.529763999838153,25.393266963914268,2.2729940718477684,64,2021-09-01
2021,10,24.352897289216394,26.511478839756194,25.432188064486294,2.1585815505398,64,2021-10-01
2021,11,24.542205226333024,26.59310152767714,25.56765337700508,2.050896301344115,64,2021-11-01
2021,12,26.52440654916865,28.95834268612177,27.74137461764521,2.433936136953125,64,2021-12-01
2022,1,28.440932389032294,31.940366765749488,30.190649577390893,3.4994343767171903,64,2022-01-01
2022,2,29.638509933192793,34.58258598511663,32.11054795915471,4.944076051923836,64,2022-02-01
2022,3,28.69828668488928,35.02562108859892,31.861953886744097,6.327334403709638,64,2022-03-01
2022,4,25.391019758072247,31.079988573454234,28.23550416576324,5.6889688153819895,64,2022-04-01
2022,5,23.310763633420596,28.010158350579808,25.6604609920002,4.69939471715921,64,2022-05-01
2022,6,22.748256636391897,25.762878746031173,24.255567691211535,3.0146221096392756,64,2022-06-01
2022,7,24.113863906565946,26.646186287234276,25.38002509690011,2.5323223806683264,64,2022-07-01
2022,8,24.50133051651097,26.96860636222709,25.734968439369027,2.4672758457161192,64,2022-08-01
2022,9,23.116668497682173,25.12994514595385,24.123306821818012,2.01327664827168,64,2022-09-01
2022,10,23.687472543066093,25.626846187428683,24.657159365247388,1.9393736443625893,64,2022-10-01
2022,11,23.527923267533463,25.515629707229724,24.521776487381594,1.987706439696261,64,2022-11-01
2022,12,26.890545868966665,29.525092258685746,28.207819063826207,2.6345463897190786,64,2022-12-01
2023,1,27.93483565568054,31.301423672721153,29.618129664200847,3.366588017040612,64,2023-01-01
2023,2,30.944511909390698,36.236780345408015,33.59064612739935,5.292268436017318,64,2023-02-01
2023,3,27.96687951430252,34.18206503066075,31.074472272481636,6.215185516358232,64,2023-03-01
2023,4,27.538275756852226,33.36271759166205,30.45049667425714,5.824441834809823,64,2023-04-01
2023,5,27.020316624748755,31.9322360995276,29.47627636213818,4.911919474778845,64,2023-05-01
2023,6,25.747892630409318,29.494281976082963,27.621087303246142,3.746389345673647,64,2023-06-01
2023,7,26.243975465517998,29.153331360681992,27.698653413099994,2.909355895163995,64,2023-07-01
2023,8,25.66969442695645,28.283124324159576,26.976409375558013,2.6134298972031256,64,2023-08-01
2023,9,26.09293817068335,28.54446615796753,27.31870216432544,2.4515279872841793,64,2023-09-01
2023,10,24.945701588461336,26.971283834462604,25.95849271146197,2.0255822460012674,64,2023-10-01
2023,11,26.30086284549595,28.131247397947444,27.216055121721695,1.8303845524514946,64,2023-11-01
2023,12,28.842632605362144,31.256513543623797,30.049573074492972,2.4138809382616513,64,2023-12-01
2024,1,30.32769634287417,33.51601891116655,31.92185762702036,3.188322568292381,64,2024-01-01
2024,2,31.52801383554718,36.55228340761494,34.04014862158106,5.024269572067757,64,2024-02-01
2024,3,31.630969345903544,38.712519947383704,35.171744646643624,7.081550601480158,64,2024-03-01
2024,4,28.83376025410783,35.77756363749324,32.30566194580054,6.94380338338541,64,2024-04-01
2024,5,25.608287043748298,31.13178090931458,28.370033976531438,5.52349386556628,64,2024-05-01
2024,6,22.636236400912743,26.586605707861608,24.611421054387176,3.9503693069488657,64,2024-06-01
2024,7,24.121215265599627,27.59048085353851,25.855848059569066,3.4692655879388785,64,2024-07-01
2024,8,24.379423018201503,26.98990920460772,25.68466611140461,2.6104861864062183,64,2024-08-01
2024,9,24.68271510158119,26.763776407712673,25.723245754646932,2.081061306131482,64,2024-09-01
2024,10,24.912798131776984,26.568995456965677,25.74089679437133,1.6561973251886937,64,2024-10-01
