poly_id,poly_elv,2021,2022,2023,2024
1,14.236887454986572,8.733684339021382,10.6989990234375,11.169998972039474,9.38789287366365
2,35.77858638763428,5.057366622121711,5.584002685546875,5.86105025442023,6.609472977487664
3,36.62546491622925,3.6415822882401314,3.9245025634765627,6.056314568770559,7.308947111430921
4,40.78579902648926,2.1500003212376644,3.768504333496094,1.9778940301192434,6.624734978926809
5,9.813473999500275,5.051581131784539,5.358500671386719,4.494208084909539,4.289998907791941
6,152.9643783569336,4.667894865337171,5.28499755859375,7.809470728824013,10.562626888877467
7,48.43452548980713,1.4268477590460527,2.6670013427734376,3.852102179276316,2.9094720137746712
8,37.08544862270355,2.577362060546875,1.8275009155273438,1.9742094341077303,2.943685431229441
9,46.992342948913574,1.2289492958470394,3.035504150390625,2.1852657920435856,3.9726289447985197
10,33.284361839294434,8.28315654553865,6.808000183105468,6.399471885279605,7.530000385485198
11,79.73870658874512,2.3852619371916117,0.9515029907226562,5.651579204358552,5.986840499074836
12,50.658592224121094,3.9431569952713814,5.281999206542968,6.005266691509046,2.9331600791529606
13,31.72288942337036,1.0514578014440543,3.812464447120033,4.188348074169937,5.201215207150734
14,4.86187744140625,5.759473298725329,7.525498962402343,4.507891203227796,6.56158447265625
15,85.35719108581543,5.088415848581414,4.958998107910157,5.1273659153988485,6.974734657689145
16,53.716583251953125,4.339474326685855,4.314999389648437,6.758943256578948,6.426842940481086
17,12.074978113174438,0.04421354594983553,5.177001953125,5.364734850431743,3.4557912726151314
18,278.0802230834961,5.716318230879934,7.405000305175781,5.506843968441612,7.8721056486430925
19,45.54393529891968,2.9494757401315788,4.25899658203125,4.543681897615132,6.2726295872738485
20,229.20970153808594,5.6510459498355265,8.569000244140625,6.907371119449013,4.9931640625
21,519.9567718505859,5.608949360094573,7.273997497558594,7.208425421463816,8.112633956106086
22,326.1105041503906,4.513684724506579,4.239994812011719,4.435794228001645,3.629995245682566
23,557.3696594238281,5.175787674753289,5.631500244140625,3.8889449270148027,7.690527664987664
24,462.6147918701172,4.761585436369243,5.784999084472656,5.090523167660362,6.442633377878289
25,411.1108703613281,5.74578857421875,8.46100311279297,5.2668408845600325,7.105786775287829
26,394.5237579345703,3.8742081491570723,5.151498413085937,4.544737163342927,4.734733179995888
27,449.5663757324219,6.676317716899671,6.293496704101562,8.287891588712993,7.146314119037829
28,543.58050537109375,3.4894698293585527,4.75999755859375,5.1368408203125,4.3457898591694075
29,362.69093322753906,6.824739155016448,8.37099609375,8.413155003597861,7.731056614925987
30,484.16246032714844,5.016309236225329,7.577001953125,5.74789749948602,8.744738127055921
31,885.0867614746094,6.016317267166941,5.627999877929687,4.609998201069079,5.790530556126645
32,1051.1854858398438,2.1848066820267995,2.9930998225404806,2.6580000096811167,3.5735002070169015
33,810.50048828125,5.293683503803454,8.451499938964844,6.298943770559211,7.21368408203125
34,836.64892578125,4.000001606188323,3.148997497558594,3.4931576377467106,5.191576505962171
35,705.2720642089844,6.17105423776727,5.932502746582031,5.363686009457237,6.905267012746711
36,670.7474670410156,3.5063187448601973,5.971498107910156,4.640003405119243,5.527367842824836
37,604.7735595703125,3.8147309955797697,6.800999450683594,5.451056229440789,6.892631129214638
38,895.37481689453125,4.952100251850329,6.019003295898438,6.103162263569079,6.5052634791324015
40,777.6642761230469,6.7473706697162825,8.301994323730469,8.152632863898026,8.305259303042764
41,1134.3453979492188,2.4668450606496712,1.1175018310546876,3.5868401778371712,3.93157958984375
42,1041.5003356933594,4.2910509611430925,4.20150146484375,4.141993713378906,5.420524195620888
43,974.7439880371094,2.0584170692845394,1.4534988403320313,1.4052589818050987,2.509474904913651
45,974.3828430175781,1.511052181846217,3.3244979858398436,3.330000305175781,5.324737548828125
46,1075.0966796875,3.8678974352384867,3.339495849609375,3.9526302939967106,5.635263543379934
47,936.697265625,4.806314568770559,4.031501770019531,3.4199981689453125,4.1426343415912825
48,870.3188781738281,3.500523617393092,1.6159988403320313,0.8626291375411185,1.6310521175986843
49,1146.3457641601563,3.1157901161595394,2.2380035400390623,2.686997985839844,2.4678955078125
50,1030.4036865234375,4.194740696957237,4.86199951171875,4.551043058696546,5.973680998149671
51,1256.7237548828125,3.1399969803659538,2.7824981689453123,3.2955001831054687,3.7405315198396383
52,1364.3589477539063,3.5921052631578947,3.029493713378906,2.924215216385691,3.583155581825658
53,1327.622802734375,3.7536813836348686,4.125997924804688,4.317143031529018,5.26052535207648
54,1181.7261962890625,4.866840563322368,5.675497436523438,7.1221056486430925,6.0252685546875
55,1193.0613403320313,1.8110496119449013,1.6035003662109375,1.270530299136513,2.7178971140008223
56,1586.5170288085938,7.2747336939761515,7.315000915527344,7.058947111430921,8.2079001978824
57,1259.827392578125,3.5105221396998356,2.7260040283203124,3.205789666426809,3.525792172080592
58,1375.034423828125,5.893686394942434,5.5279998779296875,5.3142138029399675,4.736316881681743
59,1283.5335083007813,3.566319515830592,2.2610015869140625,4.445498657226563,5.5694740696957235
60,1269.8865966796875,2.8884197034333883,3.301495361328125,4.800000642475329,3.197896857010691
61,1550.0108032226563,3.0084228515625,3.97650146484375,2.8831562243009867,3.3573688707853617
63,1739.105712890625,7.204210783305921,7.286003112792969,7.7084189967105265,8.082628752055921
65,1595.8562622070313,5.9205322265625,5.831999206542969,5.98052978515625,6.686311420641448
66,1547.0839233398438,2.582631964432566,1.9425033569335937,3.4099990844726564,2.984207956414474
67,1692.57958984375,5.618417840254934,6.129499816894532,6.381052117598684,6.325265984786184
70,1604.9100952148438,4.869998329564145,4.427503967285157,4.435792621813323,4.836841784025493
