interval_from,interval_to,LST,land_type,Id,land_type_label
2023-05-21,2023-05-22,289.82000732421875,10,Site-001,forest
2023-05-23,2023-05-24,290.79998779296875,10,Site-001,forest
2023-05-25,2023-05-26,291.2799987792969,10,Site-001,forest
2023-05-26,2023-05-27,287.5899963378906,10,Site-001,forest
2023-05-27,2023-05-28,293.2900085449219,10,Site-001,forest
2023-05-28,2023-05-29,291.95001220703125,10,Site-001,forest
2023-05-30,2023-05-31,290.2300109863281,10,Site-001,forest
2023-06-01,2023-06-02,284.80999755859375,10,Site-001,forest
2023-06-03,2023-06-04,295.20001220703125,10,Site-001,forest
2023-06-04,2023-06-05,294.1199951171875,10,Site-001,forest
2023-06-06,2023-06-07,293.260009765625,10,Site-001,forest
2023-06-08,2023-06-09,291.6300048828125,10,Site-001,forest
2023-06-10,2023-06-11,289.4200134277344,10,Site-001,forest
2023-06-11,2023-06-12,291.07000732421875,10,Site-001,forest
2023-06-12,2023-06-13,296.989990234375,10,Site-001,forest
2023-06-13,2023-06-14,293.95001220703125,10,Site-001,forest
2023-06-15,2023-06-16,293.1700134277344,10,Site-001,forest
2023-06-17,2023-06-18,293.8299865722656,10,Site-001,forest
2023-06-19,2023-06-20,297.45001220703125,10,Site-001,forest
2023-06-20,2023-06-21,293.9200134277344,10,Site-001,forest
2023-06-22,2023-06-23,290.7099914550781,10,Site-001,forest
2023-06-24,2023-06-25,293.489990234375,10,Site-001,forest
2023-06-26,2023-06-27,292.8299865722656,10,Site-001,forest
2023-06-27,2023-06-28,291.8299865722656,10,Site-001,forest
2023-06-28,2023-06-29,298.3500061035156,10,Site-001,forest
2023-06-29,2023-06-30,295.5199890136719,10,Site-001,forest
2023-07-01,2023-07-02,292.3800048828125,10,Site-001,forest
2023-07-03,2023-07-04,292.3599853515625,10,Site-001,forest
2023-07-05,2023-07-06,298.1600036621094,10,Site-001,forest
2023-07-06,2023-07-07,294.2099914550781,10,Site-001,forest
2023-07-08,2023-07-09,293.1000061035156,10,Site-001,forest
2023-07-10,2023-07-11,293.9800109863281,10,Site-001,forest
2023-07-12,2023-07-13,296.6400146484375,10,Site-001,forest
2023-07-13,2023-07-14,296.2099914550781,10,Site-001,forest
2023-07-14,2023-07-15,296.8299865722656,10,Site-001,forest
2023-07-15,2023-07-16,291.05999755859375,10,Site-001,forest
2023-07-17,2023-07-18,295.3299865722656,10,Site-001,forest
2023-07-19,2023-07-20,295.4200134277344,10,Site-001,forest
2023-07-21,2023-07-22,298.9700012207031,10,Site-001,forest
2023-07-22,2023-07-23,292.9599914550781,10,Site-001,forest
2023-07-24,2023-07-25,294.4599914550781,10,Site-001,forest
2023-07-26,2023-07-27,294.7799987792969,10,Site-001,forest
2023-07-28,2023-07-29,296.95001220703125,10,Site-001,forest
2023-07-29,2023-07-30,295.6499938964844,10,Site-001,forest
2023-07-30,2023-07-31,297.44000244140625,10,Site-001,forest
2023-07-31,2023-08-01,294.30999755859375,10,Site-001,forest
2023-08-02,2023-08-03,292.260009765625,10,Site-001,forest
2023-08-04,2023-08-05,295.7900085449219,10,Site-001,forest
2023-08-06,2023-08-07,298.1300048828125,10,Site-001,forest
2023-08-07,2023-08-08,291.3999938964844,10,Site-001,forest
2023-08-09,2023-08-10,294.67999267578125,10,Site-001,forest
2023-08-11,2023-08-12,294.9800109863281,10,Site-001,forest
2023-08-13,2023-08-14,294.19000244140625,10,Site-001,forest
2023-08-14,2023-08-15,282.2699890136719,10,Site-001,forest
2023-08-15,2023-08-16,294.3299865722656,10,Site-001,forest
2023-08-16,2023-08-17,291.0899963378906,10,Site-001,forest
2023-08-18,2023-08-19,292.1600036621094,10,Site-001,forest
2023-08-20,2023-08-21,292.1400146484375,10,Site-001,forest
2023-08-22,2023-08-23,293.0899963378906,10,Site-001,forest
2023-08-23,2023-08-24,283.3599853515625,10,Site-001,forest
2023-08-25,2023-08-26,287.2799987792969,10,Site-001,forest
