LST-DISPLAY-DAY-TIME-C0/date,LST-DISPLAY-DAY-TIME-C0/min,LST-DISPLAY-DAY-TIME-C0/max,LST-DISPLAY-DAY-TIME-C0/mean,LST-DISPLAY-DAY-TIME-C0/stDev,LST-DISPLAY-DAY-TIME-C0/sampleCount,LST-DISPLAY-DAY-TIME-C0/noDataCount,LST-DISPLAY-DAY-TIME-C0/median,LST-DISPLAY-DAY-TIME-C0/p10,LST-DISPLAY-DAY-TIME-C0/p90
2020-01-01T00:00:00.000Z,302.3699951171875,302.3699951171875,302.3699951171875,0,121,0,302.3699951171875,302.3699951171875,302.3699951171875
2020-01-02T00:00:00.000Z,299.67999267578125,299.67999267578125,299.67999267578125,0,121,0,299.67999267578125,299.67999267578125,299.67999267578125
2020-01-04T00:00:00.000Z,305.2699890136719,305.2699890136719,305.2699890136719,0,121,0,305.2699890136719,305.2699890136719,305.2699890136719
2020-01-06T00:00:00.000Z,304.8900146484375,304.8900146484375,304.8900146484375,0,121,0,304.8900146484375,304.8900146484375,304.8900146484375
2020-01-08T00:00:00.000Z,304.510009765625,304.510009765625,304.510009765625,0,121,0,304.510009765625,304.510009765625,304.510009765625
2020-01-09T00:00:00.000Z,306.7300109863281,306.7300109863281,306.7300109863281,0,121,0,306.7300109863281,306.7300109863281,306.7300109863281
2020-01-11T00:00:00.000Z,305.7300109863281,305.7300109863281,305.7300109863281,0,121,0,305.7300109863281,305.7300109863281,305.7300109863281
2020-01-13T00:00:00.000Z,306.0899963378906,306.0899963378906,306.0899963378906,0,121,0,306.0899963378906,306.0899963378906,306.0899963378906
2020-01-15T00:00:00.000Z,305.7200012207031,305.7200012207031,305.7200012207031,0,121,0,305.7200012207031,305.7200012207031,305.7200012207031
2020-01-16T00:00:00.000Z,307.2799987792969,307.2799987792969,307.2799987792969,0,121,0,307.2799987792969,307.2799987792969,307.2799987792969
2020-01-17T00:00:00.000Z,306.79998779296875,306.79998779296875,306.79998779296875,0,121,0,306.79998779296875,306.79998779296875,306.79998779296875
2020-01-18T00:00:00.000Z,308.17999267578125,308.17999267578125,308.17999267578125,0,121,0,308.17999267578125,308.17999267578125,308.17999267578125
2020-01-20T00:00:00.000Z,304.1099853515625,304.1099853515625,304.1099853515625,0,121,0,304.1099853515625,304.1099853515625,304.1099853515625
2020-01-22T00:00:00.000Z,303.9200134277344,303.9200134277344,303.9200134277344,0,121,0,303.9200134277344,303.9200134277344,303.9200134277344
2020-01-24T00:00:00.000Z,305.3500061035156,305.3500061035156,305.3500061035156,0,121,0,305.3500061035156,305.3500061035156,305.3500061035156
2020-01-25T00:00:00.000Z,306.8299865722656,306.8299865722656,306.8299865722656,0,121,0,306.8299865722656,306.8299865722656,306.8299865722656
2020-01-27T00:00:00.000Z,302.4100036621094,302.4100036621094,302.4100036621094,0,121,0,302.4100036621094,302.4100036621094,302.4100036621094
2020-01-29T00:00:00.000Z,305.6199951171875,305.6199951171875,305.6199951171875,0,121,0,305.6199951171875,305.6199951171875,305.6199951171875
2020-01-31T00:00:00.000Z,306.1300048828125,306.1300048828125,306.1300048828125,0,121,0,306.1300048828125,306.1300048828125,306.1300048828125
2020-02-01T00:00:00.000Z,305.94000244140625,305.94000244140625,305.94000244140625,0,121,0,305.94000244140625,305.94000244140625,305.94000244140625
2020-02-02T00:00:00.000Z,305.92999267578125,305.92999267578125,305.92999267578125,0,121,0,305.92999267578125,305.92999267578125,305.92999267578125
2020-02-03T00:00:00.000Z,307.5400085449219,307.5400085449219,307.5400085449219,0,121,0,307.5400085449219,307.5400085449219,307.5400085449219
2020-02-05T00:00:00.000Z,307.92999267578125,307.92999267578125,307.92999267578125,0,121,0,307.92999267578125,307.92999267578125,307.92999267578125
2020-02-07T00:00:00.000Z,308.2900085449219,308.2900085449219,308.2900085449219,0,121,0,308.2900085449219,308.2900085449219,308.2900085449219
2020-02-09T00:00:00.000Z,308.6300048828125,308.6300048828125,308.6300048828125,0,121,0,308.6300048828125,308.6300048828125,308.6300048828125
2020-02-10T00:00:00.000Z,308.1700134277344,308.1700134277344,308.1700134277344,0,121,0,308.1700134277344,308.1700134277344,308.1700134277344
2020-02-12T00:00:00.000Z,309.1400146484375,309.1400146484375,309.1400146484375,0,121,0,309.1400146484375,309.1400146484375,309.1400146484375
2020-02-14T00:00:00.000Z,308.5,308.5,308.5,0,121,0,308.5,308.5,308.5
2020-02-16T00:00:00.000Z,308.239990234375,308.239990234375,308.239990234375,0,121,0,308.239990234375,308.239990234375,308.239990234375
2020-02-17T00:00:00.000Z,308.8399963378906,308.8399963378906,308.8399963378906,0,121,0,308.8399963378906,308.8399963378906,308.8399963378906
2020-02-18T00:00:00.000Z,308.80999755859375,308.80999755859375,308.80999755859375,0,121,0,308.80999755859375,308.80999755859375,308.80999755859375
2020-02-19T00:00:00.000Z,309.44000244140625,309.44000244140625,309.44000244140625,0,121,0,309.44000244140625,309.44000244140625,309.44000244140625
2020-02-21T00:00:00.000Z,308.8399963378906,308.8399963378906,308.8399963378906,0,121,0,308.8399963378906,308.8399963378906,308.8399963378906
2020-02-23T00:00:00.000Z,308.92999267578125,308.92999267578125,308.92999267578125,0,121,0,308.92999267578125,308.92999267578125,308.92999267578125
2020-02-25T00:00:00.000Z,308.04998779296875,308.04998779296875,308.04998779296875,0,121,0,308.04998779296875,308.04998779296875,308.04998779296875
2020-02-26T00:00:00.000Z,307.1400146484375,307.1400146484375,307.1400146484375,0,121,0,307.1400146484375,307.1400146484375,307.1400146484375
2020-02-28T00:00:00.000Z,309.1600036621094,309.1600036621094,309.1600036621094,0,121,0,309.1600036621094,309.1600036621094,309.1600036621094
2020-03-01T00:00:00.000Z,308.9599914550781,308.9599914550781,308.9599914550781,0,121,0,308.9599914550781,308.9599914550781,308.9599914550781
2020-03-03T00:00:00.000Z,308.510009765625,308.510009765625,308.510009765625,0,121,0,308.510009765625,308.510009765625,308.510009765625
2020-03-04T00:00:00.000Z,309.75,309.75,309.75,0,121,0,309.75,309.75,309.75
2020-03-05T00:00:00.000Z,310.8800048828125,310.8800048828125,310.8800048828125,0,121,0,310.8800048828125,310.8800048828125,310.8800048828125
2020-03-06T00:00:00.000Z,310.17999267578125,310.17999267578125,310.17999267578125,0,121,0,310.17999267578125,310.17999267578125,310.17999267578125
2020-03-08T00:00:00.000Z,309.7300109863281,309.7300109863281,309.7300109863281,0,121,0,309.7300109863281,309.7300109863281,309.7300109863281
2020-03-10T00:00:00.000Z,309.1000061035156,309.1000061035156,309.1000061035156,0,121,0,309.1000061035156,309.1000061035156,309.1000061035156
2020-03-12T00:00:00.000Z,309.4800109863281,309.4800109863281,309.4800109863281,0,121,0,309.4800109863281,309.4800109863281,309.4800109863281
2020-03-13T00:00:00.000Z,310.5299987792969,310.5299987792969,310.5299987792969,0,121,0,310.5299987792969,310.5299987792969,310.5299987792969
2020-03-15T00:00:00.000Z,310.44000244140625,310.44000244140625,310.44000244140625,0,121,0,310.44000244140625,310.44000244140625,310.44000244140625
2020-03-17T00:00:00.000Z,310.45001220703125,310.45001220703125,310.45001220703125,0,121,0,310.45001220703125,310.45001220703125,310.45001220703125
2020-03-19T00:00:00.000Z,310.1000061035156,310.1000061035156,310.1000061035156,0,121,0,310.1000061035156,310.1000061035156,310.1000061035156
2020-03-20T00:00:00.000Z,310.0799865722656,310.0799865722656,310.0799865722656,0,121,0,310.0799865722656,310.0799865722656,310.0799865722656
2020-03-21T00:00:00.000Z,310.20001220703125,310.20001220703125,310.20001220703125,0,121,0,310.20001220703125,310.20001220703125,310.20001220703125
2020-03-22T00:00:00.000Z,310.0899963378906,310.0899963378906,310.0899963378906,0,121,0,310.0899963378906,310.0899963378906,310.0899963378906
2020-03-24T00:00:00.000Z,310.79998779296875,310.79998779296875,310.79998779296875,0,121,0,310.79998779296875,310.79998779296875,310.79998779296875
2020-03-26T00:00:00.000Z,310.05999755859375,310.05999755859375,310.05999755859375,0,121,0,310.05999755859375,310.05999755859375,310.05999755859375
2020-03-28T00:00:00.000Z,310.8900146484375,310.8900146484375,310.8900146484375,0,121,0,310.8900146484375,310.8900146484375,310.8900146484375
2020-03-29T00:00:00.000Z,310.6099853515625,310.6099853515625,310.6099853515625,0,121,0,310.6099853515625,310.6099853515625,310.6099853515625
2020-03-31T00:00:00.000Z,309.739990234375,309.739990234375,309.739990234375,0,121,0,309.739990234375,309.739990234375,309.739990234375
2020-04-02T00:00:00.000Z,305.6400146484375,305.6400146484375,305.6400146484375,0,121,0,305.6400146484375,305.6400146484375,305.6400146484375
2020-04-04T00:00:00.000Z,310.8399963378906,310.8399963378906,310.8399963378906,0,121,0,310.8399963378906,310.8399963378906,310.8399963378906
2020-04-05T00:00:00.000Z,310.6400146484375,310.6400146484375,310.6400146484375,0,121,0,310.6400146484375,310.6400146484375,310.6400146484375
2020-04-06T00:00:00.000Z,311.3800048828125,311.3800048828125,311.3800048828125,0,121,0,311.3800048828125,311.3800048828125,311.3800048828125
2020-04-07T00:00:00.000Z,310.25,310.25,310.25,0,121,0,310.25,310.25,310.25
2020-04-09T00:00:00.000Z,310.42999267578125,310.42999267578125,310.42999267578125,0,121,0,310.42999267578125,310.42999267578125,310.42999267578125
2020-04-11T00:00:00.000Z,308.3999938964844,308.3999938964844,308.3999938964844,0,121,0,308.3999938964844,308.3999938964844,308.3999938964844
2020-04-13T00:00:00.000Z,303.2900085449219,303.2900085449219,303.2900085449219,0,121,0,303.2900085449219,303.2900085449219,303.2900085449219
2020-04-14T00:00:00.000Z,304.67999267578125,304.67999267578125,304.67999267578125,0,121,0,304.67999267578125,304.67999267578125,304.67999267578125
2020-04-16T00:00:00.000Z,307.4700012207031,307.4700012207031,307.4700012207031,0,121,0,307.4700012207031,307.4700012207031,307.4700012207031
2020-04-18T00:00:00.000Z,307.2699890136719,307.2699890136719,307.2699890136719,0,121,0,307.2699890136719,307.2699890136719,307.2699890136719
2020-04-20T00:00:00.000Z,307.2300109863281,307.2300109863281,307.2300109863281,0,121,0,307.2300109863281,307.2300109863281,307.2300109863281
2020-04-21T00:00:00.000Z,306.57000732421875,306.57000732421875,306.57000732421875,0,121,0,306.57000732421875,306.57000732421875,306.57000732421875
2020-04-22T00:00:00.000Z,307.5400085449219,307.5400085449219,307.5400085449219,0,121,0,307.5400085449219,307.5400085449219,307.5400085449219
2020-04-23T00:00:00.000Z,300.17999267578125,300.17999267578125,300.17999267578125,0,121,0,300.17999267578125,300.17999267578125,300.17999267578125
2020-04-25T00:00:00.000Z,305.4700012207031,305.4700012207031,305.4700012207031,0,121,0,305.4700012207031,305.4700012207031,305.4700012207031
2020-04-27T00:00:00.000Z,304.3900146484375,304.3900146484375,304.3900146484375,0,121,0,304.3900146484375,304.3900146484375,304.3900146484375
2020-04-29T00:00:00.000Z,300.55999755859375,300.55999755859375,300.55999755859375,0,121,0,300.55999755859375,300.55999755859375,300.55999755859375
2020-04-30T00:00:00.000Z,302.5899963378906,302.5899963378906,302.5899963378906,0,121,0,302.5899963378906,302.5899963378906,302.5899963378906
2020-05-02T00:00:00.000Z,303.7200012207031,303.7200012207031,303.7200012207031,0,121,0,303.7200012207031,303.7200012207031,303.7200012207031
2020-05-04T00:00:00.000Z,304.7099914550781,304.7099914550781,304.7099914550781,0,121,0,304.7099914550781,304.7099914550781,304.7099914550781
2020-05-06T00:00:00.000Z,303.1400146484375,303.1400146484375,303.1400146484375,0,121,0,303.1400146484375,303.1400146484375,303.1400146484375
2020-05-07T00:00:00.000Z,302.7900085449219,302.7900085449219,302.7900085449219,0,121,0,302.7900085449219,302.7900085449219,302.7900085449219
2020-05-08T00:00:00.000Z,301.4599914550781,301.4599914550781,301.4599914550781,0,121,0,301.4599914550781,301.4599914550781,301.4599914550781
2020-05-09T00:00:00.000Z,304.8800048828125,304.8800048828125,304.8800048828125,0,121,0,304.8800048828125,304.8800048828125,304.8800048828125
2020-05-11T00:00:00.000Z,301.6700134277344,301.6700134277344,301.6700134277344,0,121,0,301.6700134277344,301.6700134277344,301.6700134277344
2020-05-13T00:00:00.000Z,302.2799987792969,302.2799987792969,302.2799987792969,0,121,0,302.2799987792969,302.2799987792969,302.2799987792969
2020-05-15T00:00:00.000Z,303.8800048828125,303.8800048828125,303.8800048828125,0,121,0,303.8800048828125,303.8800048828125,303.8800048828125
2020-05-16T00:00:00.000Z,304.05999755859375,304.05999755859375,304.05999755859375,0,121,0,304.05999755859375,304.05999755859375,304.05999755859375
2020-05-18T00:00:00.000Z,303.92999267578125,303.92999267578125,303.92999267578125,0,121,0,303.92999267578125,303.92999267578125,303.92999267578125
2020-05-20T00:00:00.000Z,300.8800048828125,300.8800048828125,300.8800048828125,0,121,0,300.8800048828125,300.8800048828125,300.8800048828125
2020-05-22T00:00:00.000Z,303.7099914550781,303.7099914550781,303.7099914550781,0,121,0,303.7099914550781,303.7099914550781,303.7099914550781
2020-05-23T00:00:00.000Z,302.1199951171875,302.1199951171875,302.1199951171875,0,121,0,302.1199951171875,302.1199951171875,302.1199951171875
2020-05-24T00:00:00.000Z,305.9200134277344,305.9200134277344,305.9200134277344,0,121,0,305.9200134277344,305.9200134277344,305.9200134277344
2020-05-25T00:00:00.000Z,301.4700012207031,301.4700012207031,301.4700012207031,0,121,0,301.4700012207031,301.4700012207031,301.4700012207031
2020-05-27T00:00:00.000Z,296.30999755859375,296.30999755859375,296.30999755859375,0,121,0,296.30999755859375,296.30999755859375,296.30999755859375
2020-05-29T00:00:00.000Z,300.6199951171875,300.6199951171875,300.6199951171875,0,121,0,300.6199951171875,300.6199951171875,300.6199951171875
2020-05-31T00:00:00.000Z,300.55999755859375,300.55999755859375,300.55999755859375,0,121,0,300.55999755859375,300.55999755859375,300.55999755859375
